game_date,away_team,home_team,away_pitcher,home_pitcher
2024-09-01,MIL,CIN,Tobias Myers,Brandon Williamson
2024-09-01,CHC,WSH,Jordan Wicks,Mitchell Parker
2024-09-01,STL,NYY,Miles Mikolas,Nestor Cortes
2024-09-01,SD,TB,Dylan Cease,Ryan Pepiot
2024-09-01,BOS,DET,Cooper Criswell,Beau Brieske
2024-09-01,PIT,CLE,Mitch Keller,Alex Cobb
2024-09-01,TOR,MIN,Yariel Rodríguez,Bailey Ober
2024-09-01,KC,HOU,Alec Marsh,Ronel Blanco
2024-09-01,NYM,CWS,Sean Manaea,Garrett Crochet
2024-09-01,OAK,TEX,Mitch Spence,Walter Pennington
2024-09-01,BAL,COL,Zach Eflin,Ty Blach
2024-09-01,MIA,SF,Darren McCaughan,Logan Webb
2024-09-01,SEA,LAA,Bryce Miller,Caden Dana
2024-09-01,LAD,ARI,Justin Wrobleski,Brandon Pfaadt
2024-09-01,ATL,PHI,Spencer Schwellenbach,Aaron Nola
