game_date,away_team,home_team,away_pitcher,home_pitcher
2024-07-06,BOS,NYY,Josh Winckowski,Gerrit Cole
2024-07-06,HOU,MIN,Hunter Brown,Joe Ryan
2024-07-06,LAA,CHC,Tyler Anderson,Kyle Hendricks
2024-07-06,STL,WSH,Lance Lynn,MacKenzie Gore
2024-07-06,TB,TEX,Taj Bradley,Andrew Heaney
2024-07-06,NYM,PIT,David Peterson,Bailey Falter
2024-07-06,BAL,OAK,Cade Povich,Luis Medina
2024-07-06,TOR,SEA,Yariel Rodríguez,Emerson Hancock
2024-07-06,CWS,MIA,Garrett Crochet,Yonny Chirinos
2024-07-06,SF,CLE,Kyle Harrison,Logan Allen
2024-07-06,DET,CIN,Alex Faedo,Hunter Greene
2024-07-06,MIL,LAD,Freddy Peralta,James Paxton
2024-07-06,PHI,ATL,Ranger Suárez,Spencer Schwellenbach
2024-07-06,KC,COL,Seth Lugo,Austin Gomber
2024-07-06,ARI,SD,Brandon Pfaadt,Matt Waldron
