game_date,away_team,home_team,away_pitcher,home_pitcher
2024-09-25,SEA,HOU,George Kirby,Yusei Kikuchi
2024-09-25,CHC,PHI,Javier Assad,Cristopher Sánchez
2024-09-25,MIL,PIT,Freddy Peralta,Luis L. Ortiz
2024-09-25,TB,DET,Zack Littell,Keider Montero
2024-09-25,CIN,CLE,Jakob Junis,Andrew Walters
2024-09-25,KC,WSH,Michael Lorenzen,DJ Herz
2024-09-25,BAL,NYY,Zach Eflin,Marcus Stroman
2024-09-25,BOS,TOR,Richard Fitts,Kevin Gausman
2024-09-25,MIA,MIN,Edward Cabrera,Simeon Woods Richardson
2024-09-25,LAA,CWS,José Suarez,Davis Martin
2024-09-25,STL,COL,Erick Fedde,Austin Gomber
2024-09-25,TEX,OAK,Cody Bradford,Brady Basso
2024-09-25,SF,ARI,Mason Black,Zac Gallen
2024-09-25,SD,LAD,Dylan Cease,Jack Flaherty
2024-09-25,NYM,ATL,David Peterson,Chris Sale
