game_date,away_team,home_team,away_pitcher,home_pitcher
2024-06-19,DET,ATL,Tarik Skubal,Reynaldo López
2024-06-19,CIN,PIT,Hunter Greene,Mitch Keller
2024-06-19,STL,MIA,Matthew Liberatore,Yonny Chirinos
2024-06-19,SD,PHI,Matt Waldron,Ranger Suárez
2024-06-19,SF,CHC,Erik Miller,Kyle Hendricks
2024-06-19,ARI,WSH,Brandon Pfaadt,Patrick Corbin
2024-06-19,SEA,CLE,Bryan Woo,Tanner Bibee
2024-06-19,BAL,NYY,Cade Povich,Gerrit Cole
2024-06-19,BOS,TOR,Brayan Bello,Kevin Gausman
2024-06-19,TB,MIN,Taj Bradley,Joe Ryan
2024-06-19,NYM,TEX,Sean Manaea,Andrew Heaney
2024-06-19,HOU,CWS,Hunter Brown,Garrett Crochet
2024-06-19,LAD,COL,Bobby Miller,Ryan Feltner
2024-06-19,MIL,LAA,Freddy Peralta,Tyler Anderson
2024-06-19,KC,OAK,Cole Ragans,Luis Medina
