game_date,away_team,home_team,away_pitcher,home_pitcher
2024-04-02,MIN,MIL,Louis Varland,Jakob Junis
2024-04-02,KC,BAL,Alec Marsh,Cole Irvin
2024-04-02,CIN,PHI,Graham Ashcraft,Spencer Turnbull
2024-04-02,LAA,MIA,Tyler Anderson,Jesús Luzardo
2024-04-02,TEX,TB,Andrew Heaney,Zach Eflin
2024-04-02,ATL,CWS,Reynaldo López,Garrett Crochet
2024-04-02,COL,CHC,Kyle Freeland,Javier Assad
2024-04-02,TOR,HOU,José Berríos,Framber Valdez
2024-04-02,CLE,SEA,Shane Bieber,Luis Castillo
2024-04-02,STL,SD,Miles Mikolas,Yu Darvish
2024-04-02,BOS,OAK,Brayan Bello,Alex Wood
2024-04-02,NYY,ARI,Nestor Cortes,Zac Gallen
2024-04-02,SF,LAD,Logan Webb,Ryan Brasier
2024-04-02,DET,NYM,Casey Mize,Adrian Houser
