game_date,away_team,home_team,away_pitcher,home_pitcher
2024-06-24,CLE,BAL,Tanner Bibee,Cade Povich
2024-06-24,PHI,DET,Aaron Nola,Casey Mize
2024-06-24,SEA,TB,Bryan Woo,Taj Bradley
2024-06-24,PIT,CIN,Bailey Falter,Carson Spiers
2024-06-24,TOR,BOS,Chris Bassitt,Tanner Houck
2024-06-24,ATL,STL,Spencer Schwellenbach,Lance Lynn
2024-06-24,TEX,MIL,Michael Lorenzen,Freddy Peralta
2024-06-24,MIA,KC,Roddery Muñoz,Cole Ragans
2024-06-24,LAD,CWS,James Paxton,Garrett Crochet
2024-06-24,OAK,LAA,Luis Medina,Griffin Canning
2024-06-24,WSH,SD,Patrick Corbin,Matt Waldron
2024-06-24,CHC,SF,Justin Steele,Erik Miller
