game_date,away_team,home_team,away_pitcher,home_pitcher
2024-09-15,BAL,DET,Cade Povich,Keider Montero
2024-09-15,CIN,MIN,Rhett Lowder,David Festa
2024-09-15,MIA,WSH,Adam Oller,MacKenzie Gore
2024-09-15,KC,PIT,Brady Singer,Jared Jones
2024-09-15,NYM,PHI,David Peterson,Cristopher Sánchez
2024-09-15,BOS,NYY,Kutter Crawford,Carlos Rodón
2024-09-15,STL,TOR,Miles Mikolas,Yariel Rodríguez
2024-09-15,TB,CLE,Taj Bradley,Ben Lively
2024-09-15,OAK,CWS,JP Sears,Sean Burke
2024-09-15,CHC,COL,Kyle Hendricks,Cal Quantrill
2024-09-15,SD,SF,Martín Pérez,Landen Roupp
2024-09-15,HOU,LAA,Ronel Blanco,Caden Dana
2024-09-15,TEX,SEA,Andrew Heaney,George Kirby
2024-09-15,MIL,ARI,DL Hall,Zac Gallen
2024-09-15,LAD,ATL,Walker Buehler,Charlie Morton
