game_date,away_team,home_team,away_pitcher,home_pitcher
2024-07-11,WSH,NYM,MacKenzie Gore,David Peterson
2024-07-11,CLE,DET,Spencer Howard,Jack Flaherty
2024-07-11,COL,CIN,Austin Gomber,Hunter Greene
2024-07-11,PIT,MIL,Paul Skenes,Aaron Civale
2024-07-11,TOR,SF,Kevin Gausman,Jordan Hicks
2024-07-11,LAD,PHI,Anthony Banda,Aaron Nola
2024-07-11,CHC,BAL,Justin Steele,Albert Suárez
2024-07-11,NYY,TB,Nestor Cortes,Shane Baz
2024-07-11,OAK,BOS,Luis Medina,Tanner Houck
2024-07-11,MIA,HOU,Roddery Muñoz,
2024-07-11,SEA,LAA,Luis Castillo,Jack Kochanowicz
2024-07-11,ATL,ARI,Max Fried,Brandon Pfaadt
