game_date,away_team,home_team,away_pitcher,home_pitcher
2024-09-10,MIA,PIT,Adam Oller,Carmen Mlodzinski
2024-09-10,TB,PHI,Taj Bradley,Ranger Suárez
2024-09-10,COL,DET,Bradley Blalock,Keider Montero
2024-09-10,ATL,WSH,Reynaldo López,MacKenzie Gore
2024-09-10,KC,NYY,Seth Lugo,Marcus Stroman
2024-09-10,NYM,TOR,David Peterson,Chris Bassitt
2024-09-10,BAL,BOS,Albert Suárez,Kutter Crawford
2024-09-10,LAA,MIN,Griffin Canning,Pablo López
2024-09-10,CLE,CWS,Ben Lively,Jonathan Cannon
2024-09-10,CIN,STL,Rhett Lowder,Andre Pallante
2024-09-10,OAK,HOU,JP Sears,Spencer Arrighetti
2024-09-10,SD,SEA,Yu Darvish,George Kirby
2024-09-10,TEX,ARI,Nathan Eovaldi,Zac Gallen
2024-09-10,MIL,SF,Aaron Civale,Landen Roupp
2024-09-10,CHC,LAD,Shota Imanaga,Yoshinobu Yamamoto
