game_date,away_team,home_team,away_pitcher,home_pitcher
2024-09-02,STL,MIL,Andre Pallante,Freddy Peralta
2024-09-02,CWS,BAL,Chris Flexen,Corbin Burnes
2024-09-02,CLE,KC,Gavin Williams,Michael Wacha
2024-09-02,HOU,CIN,Justin Verlander,Julian Aguiar
2024-09-02,LAD,ARI,Jack Flaherty,Eduardo Rodriguez
2024-09-02,DET,SD,Tyler Holton,Joe Musgrove
2024-09-02,MIN,TB,Simeon Woods Richardson,Zack Littell
2024-09-02,SEA,OAK,Logan Gilbert,Osvaldo Bido
2024-09-02,BOS,NYM,Brayan Bello,Luis Severino
2024-09-02,PIT,CHC,Jared Jones,Jameson Taillon
2024-09-02,NYY,TEX,Gerrit Cole,Jack Leiter
