game_date,away_team,home_team,away_pitcher,home_pitcher
2024-06-25,CLE,BAL,Logan Allen,Cole Irvin
2024-06-25,PHI,DET,Ranger Suárez,Tarik Skubal
2024-06-25,SEA,TB,Luis Castillo,Zack Littell
2024-06-25,NYY,NYM,Gerrit Cole,David Peterson
2024-06-25,PIT,CIN,Mitch Keller,Hunter Greene
2024-06-25,TOR,BOS,Kevin Gausman,Brayan Bello
2024-06-25,TEX,MIL,Andrew Heaney,Hoby Milner
2024-06-25,MIA,KC,Yonny Chirinos,Seth Lugo
2024-06-25,COL,HOU,Austin Gomber,Hunter Brown
2024-06-25,LAD,CWS,Bobby Miller,Chris Flexen
2024-06-25,OAK,LAA,Mitch Spence,Tyler Anderson
2024-06-25,WSH,SD,MacKenzie Gore,Adam Mazur
2024-06-25,MIN,ARI,Joe Ryan,Brandon Pfaadt
2024-06-25,CHC,SF,Kyle Hendricks,Randy Rodríguez
2024-06-25,ATL,STL,Reynaldo López,Kyle Gibson
