game_date,away_team,home_team,away_pitcher,home_pitcher
2024-07-21,MIL,MIN,Aaron Civale,Joe Ryan
2024-07-21,CIN,WSH,Andrew Abbott,Jake Irvin
2024-07-21,PHI,PIT,Tyler Phillips,Marco Gonzales
2024-07-21,TB,NYY,Shane Baz,Marcus Stroman
2024-07-21,STL,ATL,Miles Mikolas,Spencer Schwellenbach
2024-07-21,DET,TOR,Keider Montero,Kevin Gausman
2024-07-21,NYM,MIA,Christian Scott,Trevor Rogers
2024-07-21,SD,CLE,Michael King,Ben Lively
2024-07-21,CWS,KC,Drew Thorpe,Seth Lugo
2024-07-21,ARI,CHC,Brandon Pfaadt,Shota Imanaga
2024-07-21,BAL,TEX,Dean Kremer,Andrew Heaney
2024-07-21,SF,COL,Hayden Birdsong,Ryan Feltner
2024-07-21,LAA,OAK,Carson Fulmer,Joey Estes
2024-07-21,HOU,SEA,Ronel Blanco,Bryan Woo
2024-07-21,BOS,LAD,Kutter Crawford,James Paxton
