game_date,away_team,home_team,away_pitcher,home_pitcher
2024-08-28,Cachorros,Piratas,Kyle Hendricks,Paul Skenes
2024-08-28,Reales,CLE,Michael Wacha,Tanner Bibee
2024-08-28,HOU,PHI,Spencer Arrighetti,Taijuan Walker
2024-08-28,TB,Marineros,Drew Rasmussen,Luis Castillo
2024-08-28,TEX,CWS,Andrew Heaney,Chris Flexen
2024-08-28,LAA,Tigres,Griffin Canning,Mason Englert
2024-08-28,Atléticos,Rojos,Osvaldo Bido,Fernando Cruz
2024-08-28,NYY,Nacionales,Carlos Rodón,MacKenzie Gore
2024-08-28,Azulejos,BOS,Chris Bassitt,Brayan Bello
2024-08-28,Bravos,MIN,Chris Sale,David Festa
2024-08-28,SD,Cardenales,Joe Musgrove,Andre Pallante
2024-08-28,Gigantes,Cerveceros,Kyle Harrison,Freddy Peralta
2024-08-28,TEX,CWS,Jack Leiter,Matt Foster
2024-08-28,MIA,COL,Max Meyer,Kyle Freeland
2024-08-28,NYM,ARI,Luis Severino,Eduardo Rodriguez
2024-08-28,BAL,LAD,Corbin Burnes,Walker Buehler
