pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2024-07-22,92.2,-1.9,4.76,"Díaz, Alexis",606115,664747,field_out,hit_into_play,,,,,6,Orlando Arcia flies out to left fielder Austin Slater.,R,R,R,ATL,CIN,X,7,fly_ball,0,0,2024,-0.68,1.06,0.37,2.32,594807,,669221,2,9,Bot,62.69,104.91,,,,,7.4596289983112944,-134.15349877041515,-2.751512303645779,-9.84428405117439,28.419958608101638,-18.938237576532075,3.46,1.57,280,80.2,48,94.8,2430,7.8,747095,663886,668715,663697,682622,682829,596103,656413,641584,52.72,0.043,0.044,0.0,1,0,0,3,75,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,229,-0.04,-0.299,73.2,8.6,0.06,0.299,88.0,-3,-3,0.04,0.04,27,29,28,30,1,3,8,1,4,2,1.62,0.68,0.68,15.6,14.171392372449196,-21.787308631988832,22.880215622087384,40.25319912202092,39.801528165502845
FF,2024-07-22,94.4,-1.91,4.68,"Díaz, Alexis",669221,664747,walk,ball,,,,,13,Sean Murphy walks.,R,R,R,ATL,CIN,B,,,3,2,2024,-0.68,1.04,-0.49,0.99,594807,,,2,9,Bot,,,,,,,5.366828389844541,-137.29822928264628,-6.444048716633517,-9.820932392139932,28.640141665006112,-17.77173475090133,3.49,1.61,,,,97.5,2614,8.0,747095,663886,668715,663697,682622,682829,596103,656413,641584,52.55,,0.689131,0.7,1,0,0,,74,6,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,228,0.025,0.182,,,,-0.182,,-3,-3,0.015,0.015,27,29,28,30,1,3,8,2,4,2,1.51,0.68,0.68,11.5,,,,,
FF,2024-07-22,93.6,-1.78,4.78,"Díaz, Alexis",669221,664747,,called_strike,,,,,5,Sean Murphy walks.,R,R,R,ATL,CIN,S,,,3,1,2024,-0.43,0.85,-0.02,2.76,,594807,,2,9,Bot,,,,,,,5.667140488876448,-136.3564510149969,-1.4480664128884482,-6.537082707534175,25.690717180207383,-21.42462410756112,3.58,1.67,,,,97.2,2577,8.0,747095,663886,668715,663697,682622,682829,596103,656413,641584,52.54,,,,,,,,74,5,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,218,0.0,-0.059,,,,0.059,,-3,-3,0.016,0.016,27,29,28,30,1,3,8,2,4,2,1.72,0.43,0.43,11.1,,,,,
SL,2024-07-22,87.9,-1.83,4.81,"Díaz, Alexis",669221,664747,,ball,,,,,14,Sean Murphy walks.,R,R,R,ATL,CIN,B,,,2,1,2024,0.21,0.27,0.39,0.86,,594807,,2,9,Bot,,,,,,,5.074721494958672,-128.01244814054942,-4.167004766575653,1.3794232077797488,23.488465753295,-28.646038612475007,3.42,1.66,,,,90.8,2592,7.8,747095,663886,668715,663697,682622,682829,596103,656413,641584,52.75,,,,,,,,74,4,Slider,1,4,1,4,4,1,1,4,Standard,Standard,159,0.0,0.045,,,,-0.045,,-3,-3,0.016,0.016,27,29,28,30,1,3,8,2,4,2,2.65,-0.21,-0.21,16.6,,,,,
SL,2024-07-22,88.6,-1.95,4.77,"Díaz, Alexis",669221,664747,,blocked_ball,,,,,14,Sean Murphy walks.,R,R,R,ATL,CIN,B,,,1,1,2024,0.3,0.2,0.89,0.56,,594807,,2,9,Bot,,,,,,,6.462233412992132,-128.94135220390208,-4.779697477103768,2.2116636300534607,24.21015074133264,-29.236174468626757,3.62,1.68,,,,91.2,2742,7.6,747095,663886,668715,663697,682622,682829,596103,656413,641584,52.88,,,,,,,,74,3,Slider,1,4,1,4,4,1,1,4,Standard,Standard,188,0.0,0.039,,,,-0.039,,-3,-3,0.016,0.016,27,29,28,30,1,3,8,2,4,2,2.68,-0.3,-0.3,14.2,,,,,
SL,2024-07-22,88.8,-1.91,4.85,"Díaz, Alexis",669221,664747,,swinging_strike,,,,,14,Sean Murphy walks.,R,R,R,ATL,CIN,S,,,1,0,2024,0.31,0.05,0.64,0.93,,594807,,2,9,Bot,,,,,,,5.75643715789985,-129.33586250214674,-3.808601117705228,2.4331693452473457,23.96433624486893,-31.093338952235825,3.52,1.66,,,,91.6,2770,7.7,747095,663886,668715,663697,682622,682829,596103,656413,641584,52.82,,,,,,,,74,2,Slider,1,4,1,4,4,1,1,4,Standard,Standard,141,0.0,-0.043,61.0,8.8,,0.043,,-3,-3,0.016,0.016,27,29,28,30,1,3,8,2,4,2,2.81,-0.31,-0.31,17.8,23.20065432228509,-16.180553903722224,35.6384664766875,44.30930502981239,40.979618683925054
FF,2024-07-22,95.0,-1.96,4.72,"Díaz, Alexis",669221,664747,,ball,,,,,11,Sean Murphy walks.,R,R,R,ATL,CIN,B,,,0,0,2024,-0.35,1.19,-1.66,2.6,,594807,,2,9,Bot,,,,,,,1.610718071141694,-138.47884061486425,-2.6822008303009515,-4.872279157957648,29.826116611598767,-16.396468114528588,3.48,1.68,,,,97.4,2674,7.5,747095,663886,668715,663697,682622,682829,596103,656413,641584,53.0,,,,,,,,74,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,228,0.0,0.014,,,,-0.014,,-3,-3,0.016,0.016,27,29,28,30,1,3,8,2,4,2,1.32,0.35,0.35,10.0,,,,,
FF,2024-07-22,93.7,-1.93,4.75,"Díaz, Alexis",592696,664747,sac_fly,hit_into_play,,,,,3,Eddie Rosario out on a sacrifice fly to right fielder Jake Fraley. Marcell Ozuna scores.,R,L,R,ATL,CIN,X,9,fly_ball,1,0,2024,-0.35,1.1,0.37,3.09,542303,594807,,1,9,Bot,154.09,81.99,,,,,6.902542210895355,-136.36190606052375,-0.9765035562479488,-5.883539565918391,30.363884831317414,-18.446252994669877,3.46,1.64,299,94.4,43,96.2,2676,7.7,747095,663886,668715,663697,682622,682829,596103,656413,641584,52.76,0.009,0.014,0.0,1,0,0,3,73,2,4-Seam Fastball,0,4,0,4,4,1,1,4,Standard,Standard,223,-0.039,-0.256,71.6,6.8,0.026,0.256,94.4,-4,-4,0.055,0.055,27,32,28,33,1,3,8,1,4,2,1.5,0.35,-0.35,12.1,18.813607902844797,-5.9339149621817855,26.738024611210285,31.76965374470348,30.06921375078349
FF,2024-07-22,92.5,-1.8,4.93,"Díaz, Alexis",592696,664747,,ball,,,,,11,Eddie Rosario out on a sacrifice fly to right fielder Jake Fraley. Marcell Ozuna scores.,R,L,R,ATL,CIN,B,,,0,0,2024,-0.48,1.17,-1.31,3.39,542303,,594807,1,9,Bot,,,,,,,2.3726500212469293,-134.69788756524505,-0.6461346057042763,-6.419631208118822,30.78407500446587,-18.0948389708993,3.49,1.64,,,,95.1,2433,7.9,747095,663886,668715,663697,682622,682829,596103,656413,641584,52.64,,,,,,,,73,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,230,0.015,0.024,,,,-0.024,,-4,-4,0.04,0.04,27,32,28,33,1,3,8,1,4,2,1.5,0.48,-0.48,12.0,,,,,
FF,2024-07-22,93.6,-2.04,4.75,"Díaz, Alexis",594807,664747,walk,ball,,,,,11,Adam Duvall walks.,R,R,R,ATL,CIN,B,,,3,0,2024,-0.63,1.3,-1.63,3.33,542303,,,1,9,Bot,,,,,,,2.546973808853904,-136.40013971709456,-0.8195901561797541,-8.488169315533726,29.68099481644195,-15.909383012192857,3.51,1.58,,,,96.5,2492,7.8,747095,663886,668715,663697,682622,682829,596103,656413,641584,52.68,,0.689131,0.7,1,0,0,,72,4,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,231,0.021,0.055,,,,-0.055,,-4,-4,0.019,0.019,27,35,28,36,1,3,8,2,4,2,1.29,0.63,0.63,8.8,,,,,
SL,2024-07-22,86.8,-2.15,4.89,"Díaz, Alexis",594807,664747,,ball,,,,,13,Adam Duvall walks.,R,R,R,ATL,CIN,B,,,2,0,2024,0.24,0.14,-0.77,1.05,542303,,,1,9,Bot,,,,,,,2.902225208453309,-126.44723961000288,-3.383311815868189,2.0197490566827208,25.52281624683926,-30.16941300671332,3.43,1.57,,,,89.5,2525,7.9,747095,663886,668715,663697,682622,682829,596103,656413,641584,52.64,,,,,,,,72,3,Slider,0,4,0,4,4,0,0,4,Standard,Standard,168,0.0,0.077,,,,-0.077,,-4,-4,0.019,0.019,27,35,28,36,1,3,8,2,4,2,2.87,-0.24,-0.24,15.4,,,,,
FF,2024-07-22,93.5,-1.95,4.75,"Díaz, Alexis",594807,664747,,ball,,,,,11,Adam Duvall walks.,R,R,R,ATL,CIN,B,,,1,0,2024,-0.54,1.18,-1.17,4.3,542303,,,1,9,Bot,,,,,,,3.312068071801662,-136.1606872402055,2.023789404498416,-7.462945930264225,29.134495261414088,-18.07251626797604,3.44,1.51,,,,96.2,2473,7.7,747095,663886,668715,663697,682622,682829,596103,656413,641584,52.75,,,,,,,,72,2,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,231,0.0,0.022,,,,-0.022,,-4,-4,0.019,0.019,27,35,28,36,1,3,8,2,4,2,1.41,0.54,0.54,12.5,,,,,
FF,2024-07-22,94.4,-2.0,4.79,"Díaz, Alexis",594807,664747,,ball,,,,,11,Adam Duvall walks.,R,R,R,ATL,CIN,B,,,0,0,2024,-0.55,1.21,-1.55,4.52,542303,,,1,9,Bot,,,,,,,2.476397573264992,-137.52053070174478,2.316906304052032,-7.556091352110821,27.327486832943105,-17.381612473150366,3.51,1.5,,,,97.6,2564,7.8,747095,663886,668715,663697,682622,682829,596103,656413,641584,52.71,,,,,,,,72,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,224,0.0,0.038,,,,-0.038,,-4,-4,0.019,0.019,27,35,28,36,1,3,8,2,4,2,1.32,0.55,0.55,11.0,,,,,
