game_date,away_team,home_team,away_pitcher,home_pitcher
2024-06-26,SEA,TB,George Kirby,Ryan Pepiot
2024-06-26,PHI,DET,Spencer Turnbull,Tyler Holton
2024-06-26,PIT,CIN,Luis L. Ortiz,Graham Ashcraft
2024-06-26,ATL,STL,Reynaldo López,Kyle Gibson
2024-06-26,TEX,MIL,Nathan Eovaldi,Dallas Keuchel
2024-06-26,MIA,KC,Valente Bellozo,Brady Singer
2024-06-26,COL,HOU,Ryan Feltner,Spencer Arrighetti
2024-06-26,OAK,LAA,Joey Estes,Roansy Contreras
2024-06-26,WSH,SD,DJ Herz,Dylan Cease
2024-06-26,CLE,BAL,Carlos Carrasco,Grayson Rodriguez
2024-06-26,NYY,NYM,Luis Gil,Sean Manaea
2024-06-26,TOR,BOS,Ryan Burr,Nick Pivetta
2024-06-26,ATL,STL,Bryce Elder,Matthew Liberatore
2024-06-26,LAD,CWS,Gavin Stone,Erick Fedde
2024-06-26,MIN,ARI,Simeon Woods Richardson,Ryne Nelson
2024-06-26,CHC,SF,Hayden Wesneski,Hayden Birdsong
