game_date,away_team,home_team,away_pitcher,home_pitcher
2024-07-03,STL,PIT,Miles Mikolas,Jared Jones
2024-07-03,BOS,MIA,Brayan Bello,Trevor Rogers
2024-07-03,CWS,CLE,Erick Fedde,Gavin Williams
2024-07-03,NYM,WSH,Christian Scott,Mitchell Parker
2024-07-03,CIN,NYY,Andrew Abbott,Carlos Rodón
2024-07-03,HOU,TOR,Ronel Blanco,Yusei Kikuchi
2024-07-03,SF,ATL,Jordan Hicks,Chris Sale
2024-07-03,SD,TEX,Adam Mazur,Jon Gray
2024-07-03,PHI,CHC,Zack Wheeler,Shota Imanaga
2024-07-03,DET,MIN,Keider Montero,David Festa
2024-07-03,TB,KC,Ryan Pepiot,Michael Wacha
2024-07-03,MIL,COL,Colin Rea,Dakota Hudson
2024-07-03,LAA,OAK,Davis Daniel,Joey Estes
2024-07-03,BAL,SEA,Dean Kremer,Logan Gilbert
2024-07-03,ARI,LAD,Cristian Mena,Gavin Stone
