game_date,away_team,home_team,away_pitcher,home_pitcher
2024-09-04,PHI,TOR,Cristopher Sánchez,Bowden Francis
2024-09-04,CWS,BAL,Jonathan Cannon,Albert Suárez
2024-09-04,WSH,MIA,MacKenzie Gore,Valente Bellozo
2024-09-04,HOU,CIN,Spencer Arrighetti,Nick Martinez
2024-09-04,MIN,TB,Ronny Henriquez,Cole Sulser
2024-09-04,BOS,NYM,Tanner Houck,Tylor Megill
2024-09-04,COL,ATL,Bradley Blalock,Charlie Morton
2024-09-04,STL,MIL,Sonny Gray,Colin Rea
2024-09-04,CLE,KC,Ben Lively,Seth Lugo
2024-09-04,PIT,CHC,Domingo Germán,Shota Imanaga
2024-09-04,NYY,TEX,Marcus Stroman,Nathan Eovaldi
2024-09-04,LAD,LAA,Bobby Miller,Griffin Canning
2024-09-04,DET,SD,Keider Montero,Yu Darvish
2024-09-04,SEA,OAK,George Kirby,JP Sears
2024-09-04,ARI,SF,Zac Gallen,Hayden Birdsong
