game_date,away_team,home_team,away_pitcher,home_pitcher
2024-08-06,SD,Piratas,Dylan Cease,Bailey Falter
2024-08-06,Rojos,MIA,Nick Lodolo,Max Meyer
2024-08-06,Gigantes,Nacionales,Hayden Birdsong,MacKenzie Gore
2024-08-06,BAL,Azulejos,Albert Suárez,Chris Bassitt
2024-08-06,Cerveceros,Bravos,Colin Rea,Bryce Elder
2024-08-06,TB,Cardenales,Jeffrey Springs,Sonny Gray
2024-08-06,HOU,TEX,Framber Valdez,Tyler Mahle
2024-08-06,MIN,Cachorros,Pablo López,Shota Imanaga
2024-08-06,BOS,Reales,Brayan Bello,Seth Lugo
2024-08-06,NYM,COL,Luis Severino,Kyle Freeland
2024-08-06,Tigres,Marineros,Keider Montero,Luis Castillo
2024-08-06,CWS,Atléticos,Jonathan Cannon,Ross Stripling
2024-08-06,PHI,LAD,Cristopher Sánchez,Clayton Kershaw
2024-08-06,ARI,CLE,Eduardo Rodriguez,Ben Lively
2024-08-06,LAA,NYY,Davis Daniel,Luis Gil
