game_date,away_team,home_team,away_pitcher,home_pitcher
2024-08-23,CIN,PIT,Buck Farmer,Bailey Falter
2024-08-23,COL,NYY,Kyle Freeland,Carlos Rodón
2024-08-23,HOU,BAL,Hunter Brown,Cade Povich
2024-08-23,LAA,TOR,Jack Kochanowicz,Chris Bassitt
2024-08-23,CHC,MIA,Kyle Hendricks,Max Meyer
2024-08-23,TEX,CLE,Nathan Eovaldi,Tanner Bibee
2024-08-23,ARI,BOS,Ryne Nelson,Brayan Bello
2024-08-23,WSH,ATL,MacKenzie Gore,Chris Sale
2024-08-23,STL,MIN,Andre Pallante,David Festa
2024-08-23,PHI,KC,Taijuan Walker,Michael Wacha
2024-08-23,DET,CWS,Keider Montero,Chris Flexen
2024-08-23,NYM,SD,Paul Blackburn,Joe Musgrove
2024-08-23,MIL,OAK,Aaron Civale,JP Sears
2024-08-23,SF,SEA,Hayden Birdsong,Luis Castillo
2024-08-23,TB,LAD,Tyler Alexander,Bobby Miller
