game_date,away_team,home_team,away_pitcher,home_pitcher
2024-06-18,STL,MIA,Lance Lynn,Roddery Muñoz
2024-06-18,CIN,PIT,Nick Lodolo,Bailey Falter
2024-06-18,SD,PHI,Michael King,Aaron Nola
2024-06-18,SEA,CLE,Bryce Miller,Triston McKenzie
2024-06-18,ARI,WSH,Slade Cecconi,Jake Irvin
2024-06-18,BAL,NYY,Albert Suárez,Nestor Cortes
2024-06-18,BOS,TOR,Tanner Houck,Chris Bassitt
2024-06-18,DET,ATL,Casey Mize,Spencer Schwellenbach
2024-06-18,TB,MIN,Aaron Civale,Pablo López
2024-06-18,NYM,TEX,Luis Severino,Michael Lorenzen
2024-06-18,SF,CHC,Logan Webb,Justin Steele
2024-06-18,HOU,CWS,Framber Valdez,Jonathan Cannon
2024-06-18,LAD,COL,Walker Buehler,Austin Gomber
2024-06-18,MIL,LAA,Tobias Myers,Griffin Canning
2024-06-18,KC,OAK,Alec Marsh,Hogan Harris
