game_date,away_team,home_team,away_pitcher,home_pitcher
2024-08-25,WSH,ATL,DJ Herz,Reynaldo López
2024-08-25,CIN,PIT,Nick Martinez,Luis L. Ortiz
2024-08-25,COL,NYY,Austin Gomber,Marcus Stroman
2024-08-25,ARI,BOS,Merrill Kelly,Tanner Houck
2024-08-25,LAA,TOR,Tyler Anderson,Kevin Gausman
2024-08-25,CHC,MIA,Javier Assad,Adam Oller
2024-08-25,TEX,CLE,Cody Bradford,Matthew Boyd
2024-08-25,STL,MIN,Erick Fedde,Zebby Matthews
2024-08-25,PHI,KC,Kolby Allard,Seth Lugo
2024-08-25,DET,CWS,Beau Brieske,Jonathan Cannon
2024-08-25,MIL,OAK,Frankie Montas,Joey Estes
2024-08-25,SF,SEA,Robbie Ray,Bryan Woo
2024-08-25,NYM,SD,Jose Quintana,Martín Pérez
2024-08-25,TB,LAD,Jacob Lopez,Gavin Stone
2024-08-25,HOU,BAL,Yusei Kikuchi,Dean Kremer
