game_date,away_team,home_team,away_pitcher,home_pitcher
2024-09-27,CIN,CHC,Nick Martinez,Jameson Taillon
2024-09-27,CWS,DET,Garrett Crochet,Brenan Hanifee
2024-09-27,PHI,WSH,Ranger Suárez,Trevor Williams
2024-09-27,PIT,NYY,Jared Jones,Carlos Rodón
2024-09-27,MIA,TOR,Adam Oller,José Berríos
2024-09-27,HOU,CLE,Ronel Blanco,Joey Cantillo
2024-09-27,TB,BOS,Taj Bradley,Nick Pivetta
2024-09-27,KC,ATL,Brady Singer,Max Fried
2024-09-27,BAL,MIN,Cade Povich,Pablo López
2024-09-27,NYM,MIL,Sean Manaea,Frankie Montas
2024-09-27,LAD,COL,Ryan Brasier,Cal Quantrill
2024-09-27,TEX,LAA,Jacob deGrom,Reid Detmers
2024-09-27,SD,ARI,Yu Darvish,Merrill Kelly
2024-09-27,OAK,SEA,JP Sears,Bryan Woo
2024-09-27,STL,SF,Miles Mikolas,Landen Roupp
