game_date,away_team,home_team,away_pitcher,home_pitcher
2024-09-11,MIA,PIT,Jonathan Bermúdez,Bailey Falter
2024-09-11,CLE,CWS,Matthew Boyd,Davis Martin
2024-09-11,NYM,TOR,Sean Manaea,Bowden Francis
2024-09-11,TEX,ARI,Cody Bradford,Merrill Kelly
2024-09-11,TB,PHI,Shane Baz,Zack Wheeler
2024-09-11,COL,DET,Tanner Gordon,Casey Mize
2024-09-11,ATL,WSH,Max Fried,Jake Irvin
2024-09-11,KC,NYY,Cole Ragans,Luis Gil
2024-09-11,LAA,MIN,Jack Kochanowicz,Zebby Matthews
2024-09-11,BAL,BOS,Dean Kremer,Nick Pivetta
2024-09-11,CIN,STL,Brandon Williamson,Lance Lynn
2024-09-11,OAK,HOU,Joey Estes,Hunter Brown
2024-09-11,SD,SEA,Michael King,Bryan Woo
2024-09-11,MIL,SF,Colin Rea,Blake Snell
2024-09-11,CHC,LAD,Jordan Wicks,Bobby Miller
