game_date,away_team,home_team,away_pitcher,home_pitcher
2024-07-05,LAA,CHC,Griffin Canning,Justin Steele
2024-07-05,NYM,PIT,Luis Severino,Paul Skenes
2024-07-05,STL,WSH,Sonny Gray,Patrick Corbin
2024-07-05,BOS,NYY,Tanner Houck,Nestor Cortes
2024-07-05,CWS,MIA,Drew Thorpe,Bryan Hoeing
2024-07-05,SF,CLE,Erik Miller,Tanner Bibee
2024-07-05,DET,CIN,Reese Olson,Carson Spiers
2024-07-05,PHI,ATL,Aaron Nola,Max Fried
2024-07-05,TB,TEX,Shane Baz,Michael Lorenzen
2024-07-05,HOU,MIN,Shawn Dubin,Pablo López
2024-07-05,KC,COL,Cole Ragans,Kyle Freeland
2024-07-05,TOR,SEA,Kevin Gausman,Luis Castillo
2024-07-05,ARI,SD,Slade Cecconi,Randy Vásquez
2024-07-05,BAL,OAK,Albert Suárez,Hogan Harris
2024-07-05,MIL,LAD,Aaron Civale,Tyler Glasnow
