game_date,away_team,home_team,away_pitcher,home_pitcher
2024-07-29,TOR,BAL,Yariel Rodríguez,Zach Eflin
2024-07-29,TOR,BAL,Bowden Francis,Cade Povich
2024-07-29,NYY,PHI,Luis Gil,Zack Wheeler
2024-07-29,CLE,DET,Tanner Bibee,Beau Brieske
2024-07-29,MIN,NYM,Simeon Woods Richardson,Jose Quintana
2024-07-29,CHC,CIN,Jameson Taillon,Carson Spiers
2024-07-29,SEA,BOS,Logan Gilbert,Nick Pivetta
2024-07-29,TEX,STL,Nathan Eovaldi,Andre Pallante
2024-07-29,ATL,MIL,Grant Holmes,Colin Rea
2024-07-29,PIT,HOU,Paul Skenes,Tayler Scott
2024-07-29,KC,CWS,Alec Marsh,Chris Flexen
2024-07-29,WSH,ARI,Mitchell Parker,Jordan Montgomery
