game_date,away_team,home_team,away_pitcher,home_pitcher
2024-08-11,LAA,WSH,Jack Kochanowicz,MacKenzie Gore
2024-08-11,TEX,NYY,Andrew Heaney,Marcus Stroman
2024-08-11,HOU,BOS,Hunter Brown,James Paxton
2024-08-11,OAK,TOR,JP Sears,Chris Bassitt
2024-08-11,BAL,TB,Albert Suárez,Jeffrey Springs
2024-08-11,SD,MIA,Dylan Cease,Max Meyer
2024-08-11,CLE,MIN,Tanner Bibee,David Festa
2024-08-11,CIN,MIL,Nick Lodolo,DL Hall
2024-08-11,ATL,COL,Spencer Schwellenbach,Kyle Freeland
2024-08-11,DET,SF,Keider Montero,Hayden Birdsong
2024-08-11,PIT,LAD,Bailey Falter,Tyler Glasnow
2024-08-11,PHI,ARI,Cristopher Sánchez,Merrill Kelly
2024-08-11,NYM,SEA,Luis Severino,Luis Castillo
