game_date,away_team,home_team,away_pitcher,home_pitcher
2024-08-08,SF,WSH,Kyle Harrison,DJ Herz
2024-08-08,MIL,ATL,Frankie Montas,Charlie Morton
2024-08-08,SD,PIT,Randy Vásquez,Luis L. Ortiz
2024-08-08,NYM,COL,David Peterson,Austin Gomber
2024-08-08,CIN,MIA,Hunter Greene,Kyle Tyler
2024-08-08,LAA,NYY,Tyler Anderson,Nestor Cortes
2024-08-08,BAL,TOR,Dean Kremer,Kevin Gausman
2024-08-08,TB,STL,Shane Baz,Kyle Gibson
2024-08-08,DET,SEA,Brenan Hanifee,Bryan Woo
2024-08-08,PHI,ARI,Kolby Allard,Jordan Montgomery
