game_date,away_team,home_team,away_pitcher,home_pitcher
2025-07-22,DET,PIT,Casey Mize,Mitch Keller
2025-07-22,SD,MIA,Stephen Kolek,Edward Cabrera
2025-07-22,BAL,CLE,Brandon Young,Joey Cantillo
2025-07-22,CIN,WSH,Chase Burns,Brad Lord
2025-07-22,BOS,PHI,Richard Fitts,Cristopher Sánchez
2025-07-22,CWS,TB,Davis Martin,Drew Rasmussen
2025-07-22,NYY,TOR,Cam Schlittler,Max Scherzer
2025-07-22,LAA,NYM,Kyle Hendricks,Frankie Montas
2025-07-22,SF,ATL,Landen Roupp,Davis Daniel
2025-07-22,OAK,TEX,J.T. Ginn,Jacob deGrom
2025-07-22,KC,CHC,Rich Hill,Matthew Boyd
2025-07-22,STL,COL,Erick Fedde,Bradley Blalock
2025-07-22,MIL,SEA,Jacob Misiorowski,Logan Gilbert
2025-07-22,HOU,ARI,Framber Valdez,Eduardo Rodriguez
2025-07-22,MIN,LAD,Simeon Woods Richardson,Yoshinobu Yamamoto
