game_date,away_team,home_team,away_pitcher,home_pitcher
2024-07-27,TEX,TOR,Michael Lorenzen,Kevin Gausman
2024-07-27,SD,BAL,Michael King,Dean Kremer
2024-07-27,CIN,TB,Andrew Abbott,Zack Littell
2024-07-27,ATL,NYM,Spencer Schwellenbach,Tylor Megill
2024-07-27,CLE,PHI,Carlos Carrasco,Tyler Phillips
2024-07-27,MIN,DET,Joe Ryan,Tarik Skubal
2024-07-27,COL,SF,Ryan Feltner,Blake Snell
2024-07-27,COL,SF,Tanner Gordon,Hayden Birdsong
2024-07-27,MIA,MIL,Max Meyer,Aaron Civale
2024-07-27,CHC,KC,Shota Imanaga,Seth Lugo
2024-07-27,LAD,HOU,Justin Wrobleski,Ronel Blanco
2024-07-27,WSH,STL,Jake Irvin,Kyle Gibson
2024-07-27,SEA,CWS,Bryan Woo,Erick Fedde
2024-07-27,NYY,BOS,Marcus Stroman,Kutter Crawford
2024-07-27,PIT,ARI,Marco Gonzales,Brandon Pfaadt
2024-07-27,OAK,LAA,Mitch Spence,Tyler Anderson
