pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2024-08-07,95.5,-2.32,5.58,"Williams, Devin",663586,642207,strikeout,called_strike,,,,,3,Austin Riley called out on strikes.,R,R,R,ATL,MIL,S,2,,0,2,2024,-0.8,1.18,0.57,2.93,,,,2,9,Bot,,,,,,,9.609580521583966,-138.77625262219496,-4.101705729899928,-12.469478779575654,29.970871351467228,-16.127791457612414,3.42,1.59,,,,97.3,2306,7.3,747085,661388,656555,655316,687401,642715,694192,663368,686217,53.2,,0.0,0.0,1,0,0,,87,3,4-Seam Fastball,5,8,5,8,8,5,5,8,Strategic,Standard,218,-0.005,-0.157,,,,0.157,,-3,-3,0.005,0.005,29,27,30,27,1,4,3,1,3,1,1.32,0.8,0.8,31.6,,,,,
FF,2024-08-07,94.7,-2.41,5.61,"Williams, Devin",663586,642207,,foul,,,,,7,Austin Riley called out on strikes.,R,R,R,ATL,MIL,S,,,0,1,2024,-0.87,1.45,-0.5,2.14,,,,2,9,Bot,,,,,,,7.044059253081432,-137.69304774688715,-6.749748273653493,-12.618879556282783,30.39293460163313,-12.334891371008876,3.42,1.56,136,77.0,11,96.2,2405,7.2,747085,661388,656555,655316,687401,642715,694192,663368,686217,53.3,,,,,,,,87,2,4-Seam Fastball,5,8,5,8,8,5,5,8,Strategic,Standard,218,0.0,-0.058,80.0,7.2,,0.058,88.0,-3,-3,0.005,0.005,29,27,30,27,1,4,3,1,3,1,1.09,0.87,0.87,30.9,-1.4213026560069657,3.539779207477755,39.30487487226896,31.31893873242209,26.122960699814573
FF,2024-08-07,95.7,-2.29,5.67,"Williams, Devin",663586,642207,,called_strike,,,,,3,Austin Riley called out on strikes.,R,R,R,ATL,MIL,S,,,0,0,2024,-0.9,1.33,0.52,2.91,,,,2,9,Bot,,,,,,,9.617229306847172,-138.9887321264112,-4.711433284962094,-13.875813027782996,31.17832233942161,-14.062098542676091,3.42,1.55,,,,97.3,2377,7.3,747085,661388,656555,655316,687401,642715,694192,663368,686217,53.21,,,,,,,,87,1,4-Seam Fastball,5,8,5,8,8,5,5,8,Strategic,Strategic,224,0.0,-0.041,,,,0.041,,-3,-3,0.005,0.005,29,27,30,27,1,4,3,1,3,1,1.17,0.9,0.9,30.8,,,,,
FF,2024-08-07,95.8,-2.2,5.61,"Williams, Devin",624585,642207,strikeout,called_strike,,,,,6,Jorge Soler called out on strikes.,R,R,R,ATL,MIL,S,2,,2,2,2024,-0.83,1.32,0.77,2.79,,,,1,9,Bot,,,,,,,9.906754923347412,-139.12730802627814,-4.866902701611305,-13.066497597861234,31.45005109302976,-14.144413184422245,3.64,1.73,,,,97.4,2398,7.3,747085,661388,656555,655316,687401,642715,694192,663368,686217,53.17,,0.0,0.0,1,0,0,,86,5,4-Seam Fastball,5,8,5,8,8,5,5,8,Standard,Standard,219,-0.012,-0.225,,,,0.225,,-3,-3,0.017,0.017,29,32,30,32,1,4,3,1,3,2,1.18,0.83,0.83,28.4,,,,,
FF,2024-08-07,95.1,-2.23,5.62,"Williams, Devin",624585,642207,,called_strike,,,,,13,Jorge Soler called out on strikes.,R,R,R,ATL,MIL,S,,,2,1,2024,-0.86,1.29,-0.03,1.46,,,,1,9,Bot,,,,,,,7.817991934007003,-138.0652642499541,-8.281223295427576,-12.724037262240302,30.86064314790461,-13.94236445160568,3.62,1.71,,,,96.6,2422,7.3,747085,661388,656555,655316,687401,642715,694192,663368,686217,53.22,,,,,,,,86,4,4-Seam Fastball,5,8,5,8,8,5,5,8,Standard,Standard,222,0.0,-0.078,,,,0.078,,-3,-3,0.017,0.017,29,32,30,32,1,4,3,1,3,2,1.24,0.86,0.86,30.0,,,,,
CH,2024-08-07,82.5,-2.56,5.42,"Williams, Devin",624585,642207,,foul,,,,,13,Jorge Soler called out on strikes.,R,R,R,ATL,MIL,S,,,2,0,2024,-1.59,-0.26,-1.05,2.49,,,,1,9,Bot,,,,,,,6.643475710999089,-119.9676048705533,0.4244872921685843,-16.625911081795113,23.912001362486247,-35.02788923229639,3.64,1.75,4,55.4,-31,83.8,2473,7.3,747085,661388,656555,655316,687401,642715,694192,663368,686217,53.25,,,,,,,,86,3,Changeup,5,8,5,8,8,5,5,8,Strategic,Standard,282,0.0,-0.065,68.5,6.7,,0.065,88.0,-3,-3,0.017,0.017,29,32,30,32,1,4,3,1,3,2,3.62,1.59,1.59,17.7,1.6141648555957522,4.26883763013209,41.69078145926916,24.471855431323306,19.039540474351693
CH,2024-08-07,83.6,-2.56,5.46,"Williams, Devin",624585,642207,,ball,,,,,13,Jorge Soler called out on strikes.,R,R,R,ATL,MIL,B,,,1,0,2024,-1.54,-0.43,-0.8,1.54,,,,1,9,Bot,,,,,,,7.182724208977618,-121.47919575784324,-1.7299152607322648,-16.70740158445616,24.6347930480254,-36.26087916662065,3.64,1.73,,,,84.5,2738,7.1,747085,661388,656555,655316,687401,642715,694192,663368,686217,53.44,,,,,,,,86,2,Changeup,5,8,5,8,8,5,5,8,Strategic,Standard,280,0.0,0.072,,,,-0.072,,-3,-3,0.017,0.017,29,32,30,32,1,4,3,1,3,2,3.71,1.54,1.54,17.7,,,,,
FF,2024-08-07,94.8,-2.25,5.61,"Williams, Devin",624585,642207,,ball,,,,,12,Jorge Soler called out on strikes.,R,R,R,ATL,MIL,B,,,0,0,2024,-0.8,1.28,0.97,3.19,,,,1,9,Bot,,,,,,,10.347745415107257,-137.71698116417454,-3.577794106395295,-12.352268399842838,29.21904898218352,-15.2053824598282,3.64,1.78,,,,96.3,2349,7.1,747085,661388,656555,655316,687401,642715,694192,663368,686217,53.36,,,,,,,,86,1,4-Seam Fastball,5,8,5,8,8,5,5,8,Standard,Standard,222,0.0,0.039,,,,-0.039,,-3,-3,0.017,0.017,29,32,30,32,1,4,3,1,3,2,1.25,0.8,0.8,29.0,,,,,
FF,2024-08-07,94.7,-2.23,5.63,"Williams, Devin",593160,642207,strikeout,swinging_strike,,,,,8,Whit Merrifield strikes out swinging.,R,R,R,ATL,MIL,S,2,,1,2,2024,-0.8,1.28,0.13,1.94,,,,0,9,Bot,,,,,,,8.078042688667427,-137.6767277050797,-6.943076122317745,-11.927592226168304,29.3127575457393,-14.554120018913617,3.35,1.56,,,,96.2,2367,7.1,747085,661388,656555,655316,687401,642715,694192,663368,686217,53.4,,0.0,0.0,1,0,0,,85,4,4-Seam Fastball,5,8,5,8,8,5,5,8,Standard,Standard,220,-0.021,-0.186,59.4,6.1,,0.186,,-3,-3,0.038,0.038,29,35,30,35,1,3,3,1,3,1,1.26,0.8,0.8,29.6,-18.479584086301365,28.91041342595379,39.58247343898829,40.288711986830606,5.951727428717527
CH,2024-08-07,82.8,-2.51,5.41,"Williams, Devin",593160,642207,,swinging_strike,,,,,5,Whit Merrifield strikes out swinging.,R,R,R,ATL,MIL,S,,,1,1,2024,-1.47,-0.3,0.06,2.67,,,,0,9,Bot,,,,,,,8.854486199863869,-120.33482186955774,0.8681322712595141,-15.963214048363778,23.19411135297074,-35.45638299096466,3.35,1.56,,,,83.8,2794,7.0,747085,661388,656555,655316,687401,642715,694192,663368,686217,53.48,,,,,,,,85,3,Changeup,5,8,5,8,8,5,5,8,Standard,Standard,284,0.0,-0.056,64.8,7.1,,0.056,,-3,-3,0.038,0.038,29,35,30,35,1,3,3,1,3,1,3.63,1.47,1.47,16.3,16.506137681317263,9.007978303451749,37.53070779058919,39.026300052279225,23.42775861114426
