pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2024-09-04,96.4,-1.44,5.76,"Iglesias, Raisel",595909,628452,strikeout,swinging_strike,,,,,13,Jake Cave strikes out swinging.,R,L,R,ATL,COL,S,2,,2,2,2024,-0.93,1.06,-0.84,2.32,,656541,,2,9,Top,,,,,,,3.680000105263503,-140.30382481520226,-5.973852269567384,-13.173463610510158,32.04375642060371,-16.99084282988331,3.32,1.57,,,,96.0,2303,6.1,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.41,,0.0,0.0,1,0,0,,76,5,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,218,0.012,-0.25,63.2,6.7,,0.25,,3,-3,0.988,0.012,34,31,34,32,1,0,1,1,2,3,1.39,0.93,-0.93,36.7,-6.760400316668462,21.597899697578377,27.86690375280794,49.01501151148362,10.656235161154468
FF,2024-09-04,95.8,-1.51,5.77,"Iglesias, Raisel",595909,628452,,swinging_strike,,,,,5,Jake Cave strikes out swinging.,R,L,R,ATL,COL,S,,,2,1,2024,-0.68,1.39,-0.05,2.69,,656541,,2,9,Top,,,,,,,5.371163885196119,-139.33363311101004,-5.624594560967742,-10.00976923441976,31.350939329470226,-13.055287085923348,3.32,1.57,,,,95.4,2346,6.1,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.4,,,,,,,,76,4,4-Seam Fastball,5,2,2,5,2,5,2,5,Strategic,Standard,218,0.0,-0.062,71.0,6.6,,0.062,,3,-3,0.988,0.012,34,31,34,32,1,0,1,1,2,3,1.1,0.68,-0.68,34.5,8.804671659689932,12.452897511504402,38.47241145678929,39.59503756986517,19.781162216473508
FF,2024-09-04,95.8,-1.55,5.77,"Iglesias, Raisel",595909,628452,,swinging_strike,,,,,14,Jake Cave strikes out swinging.,R,L,R,ATL,COL,S,,,2,0,2024,-0.79,1.37,0.88,2.41,,656541,,2,9,Top,,,,,,,8.170530216733052,-139.18657395963365,-6.343236940062369,-12.122030051560795,31.727620603581457,-13.092730448804756,3.32,1.57,,,,95.4,2367,6.2,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.3,,,,,,,,76,3,4-Seam Fastball,5,2,2,5,2,5,2,5,Strategic,Standard,217,0.0,-0.028,70.0,6.5,,0.028,,3,-3,0.988,0.012,34,31,34,32,1,0,1,1,2,3,1.12,0.79,-0.79,33.8,11.553710430325491,-3.596778898128528,41.79966505884271,28.30581703857321,26.303942132778445
CH,2024-09-04,89.4,-1.74,5.65,"Iglesias, Raisel",595909,628452,,ball,,,,,11,Jake Cave strikes out swinging.,R,L,R,ATL,COL,B,,,1,0,2024,-1.58,0.3,-1.32,2.7,,656541,,2,9,Top,,,,,,,4.34881926317116,-130.13108054839708,-1.914011673754884,-18.913057247783456,26.84927419955464,-28.610449757348373,3.29,1.51,,,,89.0,2124,6.0,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.52,,,,,,,,76,2,Changeup,5,2,2,5,2,5,2,5,Strategic,Standard,241,0.0,0.024,,,,-0.024,,3,-3,0.988,0.012,34,31,34,32,1,0,1,1,2,3,2.55,1.58,-1.58,31.8,,,,,
FF,2024-09-04,96.5,-1.52,5.74,"Iglesias, Raisel",595909,628452,,ball,,,,,11,Jake Cave strikes out swinging.,R,L,R,ATL,COL,B,,,0,0,2024,-0.59,1.34,-1.05,3.27,,,656541,2,9,Top,,,,,,,2.5950842015151023,-140.47500506201192,-4.044871220720905,-8.45420847715769,31.39761993833096,-13.656308830706925,3.29,1.54,,,,96.0,2211,5.9,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.57,,,,,,,,76,1,4-Seam Fastball,5,2,2,5,2,5,2,5,Infield shade,Standard,217,-0.001,0.034,,,,-0.034,,3,-3,0.989,0.011,34,31,34,32,1,0,1,1,2,3,1.1,0.59,-0.59,35.9,,,,,
CH,2024-09-04,91.4,-1.82,5.48,"Iglesias, Raisel",656541,628452,walk,ball,,,,,13,Sam Hilliard walks.,R,L,R,ATL,COL,B,,,3,2,2024,-1.59,0.1,-0.28,1.01,,,,2,9,Top,,,,,,,7.263052010693233,-132.91075800314206,-5.623245994420803,-20.360971388388435,27.14447172340466,-29.95471013484082,3.4,1.74,,,,91.3,2126,6.1,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.37,,0.689131,0.7,1,0,0,,75,6,Changeup,5,2,2,5,2,5,2,5,Infield shade,Standard,248,-0.007,0.267,,,,-0.267,,3,-3,0.996,0.004,34,30,34,30,1,3,1,6,2,2,2.62,1.59,-1.59,28.7,,,,,
CH,2024-09-04,91.4,-1.76,5.56,"Iglesias, Raisel",656541,628452,,ball,,,,,14,Sam Hilliard walks.,R,L,R,ATL,COL,B,,,2,2,2024,-1.63,0.27,0.09,1.28,,,,2,9,Top,,,,,,,8.101850115069382,-132.78910449672154,-5.449683817695576,-20.966031282313324,28.03369323464984,-27.948222569403644,3.52,1.7,,,,90.9,2206,6.0,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.47,,,,,,,,75,5,Changeup,5,2,2,5,2,5,2,5,Infield shade,Standard,248,0.0,0.106,,,,-0.106,,3,-3,0.996,0.004,34,30,34,30,1,3,1,6,2,2,2.46,1.63,-1.63,28.2,,,,,
SI,2024-09-04,97.0,-1.37,5.76,"Iglesias, Raisel",656541,628452,,ball,,,,,14,Sam Hilliard walks.,R,L,R,ATL,COL,B,,,1,2,2024,-1.54,0.83,1.36,2.49,,,,2,9,Top,,,,,,,10.73174433277736,-140.77337751149113,-5.054725635703276,-22.90641412008378,31.8024322489355,-20.17660332470517,3.49,1.72,,,,96.4,2397,6.1,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.41,,,,,,,,75,4,Sinker,5,2,2,5,2,5,2,5,Infield shade,Standard,214,0.0,0.039,,,,-0.039,,3,-3,0.996,0.004,34,30,34,30,1,3,1,6,2,2,1.61,1.54,-1.54,35.0,,,,,
CH,2024-09-04,91.1,-1.66,5.54,"Iglesias, Raisel",656541,628452,,swinging_strike,,,,,13,Sam Hilliard walks.,R,L,R,ATL,COL,S,,,1,1,2024,-1.74,0.0,-0.67,1.26,,,,2,9,Top,,,,,,,6.16466988962842,-132.52681411391802,-4.838396183400857,-21.81660572096824,28.37803188552158,-31.273709307303395,3.56,1.66,,,,90.7,2082,6.0,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.45,,,,,,,,75,3,Changeup,5,2,2,5,2,5,2,5,Infield shade,Standard,251,0.0,-0.064,76.9,8.3,,0.064,,3,-3,0.996,0.004,34,30,34,30,1,3,1,6,2,2,2.74,1.74,-1.74,27.8,21.44207173763441,-20.722415218837632,34.646451801373885,45.5058163038798,44.8113868912439
FF,2024-09-04,96.3,-1.58,5.76,"Iglesias, Raisel",656541,628452,,swinging_strike,,,,,1,Sam Hilliard walks.,R,L,R,ATL,COL,S,,,1,0,2024,-0.7,1.26,-0.81,3.25,,,,2,9,Top,,,,,,,3.596242764790591,-140.17626727074585,-3.9160499708814553,-10.047875946236433,31.29617640677881,-14.901355616142524,3.56,1.66,,,,95.9,2236,6.0,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.5,,,,,,,,75,2,4-Seam Fastball,5,2,2,5,2,5,2,5,Infield shade,Standard,217,0.0,-0.051,66.7,6.2,,0.051,,3,-3,0.996,0.004,34,30,34,30,1,3,1,6,2,2,1.2,0.7,-0.7,32.8,-6.474397592550555,45.83882951919404,23.53315187400305,47.84753237374016,0.8209781446823272
CH,2024-09-04,91.2,-1.78,5.57,"Iglesias, Raisel",656541,628452,,ball,,,,,13,Sam Hilliard walks.,R,L,R,ATL,COL,B,,,0,0,2024,-1.7,0.13,-0.35,1.4,,,,2,9,Top,,,,,,,7.212770648047647,-132.59432438521517,-4.870413452072482,-21.574581383699076,27.31410021912823,-29.762781998803444,3.45,1.65,,,,91.0,2188,6.1,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.38,,,,,,,,75,1,Changeup,5,2,2,5,2,5,2,5,Infield shade,Standard,247,0.0,0.04,,,,-0.04,,3,-3,0.996,0.004,34,30,34,30,1,3,1,6,2,2,2.6,1.7,-1.7,29.0,,,,,
CH,2024-09-04,91.6,-1.64,5.64,"Iglesias, Raisel",666134,628452,strikeout,swinging_strike,,,,,13,Nolan Jones strikes out swinging.,R,L,R,ATL,COL,S,2,,0,2,2024,-1.65,0.17,-0.87,1.33,,,,1,9,Top,,,,,,,5.456790540852001,-133.19481237575852,-5.321198001244173,-20.792926148068453,28.70842194220222,-29.25507630600609,3.64,1.72,,,,90.9,2173,5.9,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.6,,0.0,0.0,1,0,0,,74,3,Changeup,5,2,2,5,2,5,2,5,Infield shade,Standard,243,0.009,-0.162,70.2,7.4,,0.162,,3,-3,0.987,0.013,34,26,34,26,1,3,1,3,2,1,2.56,1.65,-1.65,27.9,11.232019633554842,2.353179436063272,40.40513309580623,47.6668648188577,30.89926270275106
FF,2024-09-04,96.4,-1.58,5.75,"Iglesias, Raisel",666134,628452,,called_strike,,,,,4,Nolan Jones strikes out swinging.,R,L,R,ATL,COL,S,,,0,1,2024,-0.73,1.15,-0.64,2.4,,,,1,9,Top,,,,,,,4.124806282275996,-140.29410092083984,-5.938152309082773,-10.540323297174377,30.6732098793344,-15.782413038251224,3.72,1.65,,,,95.9,2292,5.9,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.58,,,,,,,,74,2,4-Seam Fastball,5,2,2,5,2,5,2,5,Infield shade,Standard,217,0.0,-0.057,,,,0.057,,3,-3,0.987,0.013,34,26,34,26,1,3,1,3,2,1,1.29,0.73,-0.73,34.0,,,,,
SI,2024-09-04,95.6,-1.47,5.76,"Iglesias, Raisel",666134,628452,,called_strike,,,,,6,Nolan Jones strikes out swinging.,R,L,R,ATL,COL,S,,,0,0,2024,-1.55,0.76,0.75,2.63,,,,1,9,Top,,,,,,,9.292277997111372,-138.88532049014736,-4.297175104152804,-22.11656772726654,31.10541057465102,-21.560484777437846,3.64,1.7,,,,95.1,2406,6.1,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.41,,,,,,,,74,1,Sinker,5,2,2,5,2,5,2,5,Infield shade,Standard,217,0.0,-0.037,,,,0.037,,3,-3,0.987,0.013,34,26,34,26,1,3,1,3,2,1,1.74,1.55,-1.55,30.8,,,,,
FF,2024-09-04,95.8,-1.64,5.74,"Iglesias, Raisel",669911,628452,field_out,hit_into_play,,,,,8,Michael Toglia flies out sharply to left fielder Jarred Kelenic.,R,L,R,ATL,COL,X,7,fly_ball,0,0,2024,-0.71,1.27,-0.12,2.27,,,,0,9,Top,44.96,71.14,,,,,5.590948538074853,-139.40267248028402,-6.411554523072084,-10.45767926642972,30.61218621564913,-14.386129137213224,3.7,1.77,373,103.2,42,95.6,2247,6.1,747075,518595,621566,663897,570482,606115,672284,671739,642201,54.37,0.2,0.384,0.0,1,0,0,5,73,1,4-Seam Fastball,5,2,2,5,2,5,2,5,Infield shade,Standard,218,0.018,-0.254,82.2,7.8,0.741,0.254,103.2,3,-3,0.969,0.031,34,25,34,26,1,3,1,1,2,1,1.21,0.71,-0.71,32.8,15.021358777715768,0.3390670463547168,41.30830403053245,39.7351759756918,23.08365607560573
FF,2024-09-04,100.8,-1.98,5.82,"Halvorsen, Seth",542303,678020,strikeout,called_strike,,,,,6,Marcell Ozuna called out on strikes.,R,R,R,ATL,COL,S,2,,2,2,2024,-1.07,1.36,0.69,2.61,,,,2,8,Bot,,,,,,,10.104583621713813,-146.436692474139,-6.971619802778228,-17.66957594174843,31.48821056840187,-11.057855033798834,3.65,1.69,,,,102.5,2248,7.1,747075,691011,669911,663898,641857,678662,666134,686668,656541,53.39,,0.0,0.0,1,0,0,,72,6,4-Seam Fastball,5,2,5,2,2,5,5,2,Strategic,Standard,221,-0.001,-0.219,,,,0.219,,3,3,0.97,0.97,24,33,24,34,1,4,4,1,2,1,0.87,1.07,1.07,47.4,,,,,
FF,2024-09-04,100.8,-2.22,5.87,"Halvorsen, Seth",542303,678020,,foul,,,,,5,Marcell Ozuna called out on strikes.,R,R,R,ATL,COL,S,,,2,2,2024,-1.26,1.28,-0.06,2.65,,,,2,8,Bot,,,,,,,9.08057436398148,-146.29781252327734,-6.696838207078114,-20.249338619958845,36.63060300594708,-12.35712009680415,3.51,1.76,317,97.3,25,101.5,2201,7.0,747075,691011,669911,663898,641857,678662,666134,686668,656541,53.54,,,,,,,,72,5,4-Seam Fastball,5,2,5,2,2,5,5,2,Strategic,Standard,221,0.0,0.0,56.3,6.1,,0.0,97.3,3,3,0.97,0.97,24,33,24,34,1,4,4,1,2,1,0.99,1.26,1.26,44.3,-11.864213126320074,13.278735674031756,36.62770354753975,37.53221258037127,14.13627957905133
FF,2024-09-04,100.1,-2.21,5.8,"Halvorsen, Seth",542303,678020,,foul,,,,,8,Marcell Ozuna called out on strikes.,R,R,R,ATL,COL,S,,,2,1,2024,-1.14,1.46,0.23,2.07,,,,2,8,Bot,,,,,,,9.539320168009397,-145.20466680143733,-8.453361958287248,-18.31546822680676,33.894024939509784,-9.68357846244209,3.51,1.76,276,82.8,34,101.5,2313,7.2,747075,691011,669911,663898,641857,678662,666134,686668,656541,53.31,,,,,,,,72,4,4-Seam Fastball,5,2,5,2,2,5,5,2,Strategic,Standard,223,0.0,-0.084,71.1,7.1,,0.084,88.0,3,3,0.97,0.97,24,33,24,34,1,4,4,1,2,1,0.83,1.14,1.14,47.6,-4.244633560950817,18.096120834235567,38.38686187575871,40.63828395617607,12.39155909468708
FS,2024-09-04,91.8,-2.79,5.54,"Halvorsen, Seth",542303,678020,,ball,,,,,13,Marcell Ozuna called out on strikes.,R,R,R,ATL,COL,B,,,1,1,2024,-1.47,0.6,-0.38,0.04,,,,2,8,Bot,,,,,,,9.392899181133744,-133.1183636125284,-9.460512401405124,-19.450747118082862,28.005079335443003,-23.14246702161648,3.51,1.74,,,,92.9,1779,7.1,747075,691011,669911,663898,641857,678662,666134,686668,656541,53.4,,,,,,,,72,3,Split-Finger,5,2,5,2,2,5,5,2,Strategic,Standard,241,0.0,0.058,,,,-0.058,,3,3,0.97,0.97,24,33,24,34,1,4,4,1,2,1,2.12,1.47,1.47,32.8,,,,,
FS,2024-09-04,91.1,-2.59,5.61,"Halvorsen, Seth",542303,678020,,swinging_strike,,,,,14,Marcell Ozuna called out on strikes.,R,R,R,ATL,COL,S,,,1,0,2024,-1.19,0.52,0.51,1.21,,,,2,8,Bot,,,,,,,10.47820643559045,-132.2537290659071,-6.3623126682143365,-16.117344075206915,26.91449597477021,-24.876903472146942,3.51,1.76,,,,92.5,1765,7.1,747075,691011,669911,663898,641857,678662,666134,686668,656541,53.37,,,,,,,,72,2,Split-Finger,5,2,5,2,2,5,5,2,Strategic,Standard,242,0.0,-0.051,,,,0.051,,3,3,0.97,0.97,24,33,24,34,1,4,4,1,2,1,2.23,1.19,1.19,38.4,,,,,
PO,2024-09-04,100.3,-2.4,5.91,"Halvorsen, Seth",542303,678020,,pitchout,,,,,12,Marcell Ozuna called out on strikes.,R,R,R,ATL,COL,B,,,0,0,2024,-1.31,1.2,1.65,3.06,,,642201,1,8,Bot,,,,,,,14.415197311248589,-145.25216263889303,-5.381961975024352,-21.877467107762563,33.72926402855421,-13.99199660676568,3.51,1.76,,,,101.2,2334,7.0,747075,691011,669911,663898,641857,678662,666134,686668,656541,53.49,,,,,,,,72,1,Pitch Out,5,2,5,2,2,5,5,2,Strategic,Standard,225,-0.005,,,,,,,3,3,0.975,0.975,24,33,24,34,1,4,4,1,2,1,1.09,1.31,1.31,44.2,,,,,
FF,2024-09-04,100.2,-2.25,5.95,"Halvorsen, Seth",642201,678020,hit_by_pitch,hit_by_pitch,,,,,11,Eli White hit by pitch.,R,R,R,ATL,COL,B,,,2,2,2024,-1.26,1.12,-1.89,3.42,,,,1,8,Bot,,,,,,,4.04125198063826,-145.74646221852308,-4.300114025430266,-18.895104298899664,36.22989686315821,-15.42686444314148,3.58,1.68,,,,101.3,2292,7.0,747075,691011,669911,663898,641857,678662,666134,686668,656541,53.47,,0.720192,0.7,1,0,0,,71,5,4-Seam Fastball,5,2,5,2,2,5,5,2,Strategic,Standard,223,0.003,0.456,,,,-0.456,,3,3,0.972,0.972,24,30,24,30,1,0,4,1,2,2,1.16,1.26,1.26,48.4,,,,,
SL,2024-09-04,90.3,-2.74,5.64,"Halvorsen, Seth",642201,678020,,ball,,,,,14,Eli White hit by pitch.,R,R,R,ATL,COL,B,,,1,2,2024,-0.01,0.28,0.3,1.44,,,,1,8,Bot,,,,,,,7.6822748168830035,-131.41812436069674,-5.278616001115271,-1.3710926918064683,22.26655924298604,-28.14498443232618,3.58,1.59,,,,92.3,2342,7.1,747075,691011,669911,663898,641857,678662,666134,686668,656541,53.45,,,,,,,,71,4,Slider,5,2,5,2,2,5,5,2,Strategic,Standard,196,0.0,0.043,,,,-0.043,,3,3,0.972,0.972,24,30,24,30,1,0,4,1,2,2,2.47,0.01,0.01,37.1,,,,,
SL,2024-09-04,90.0,-2.63,5.66,"Halvorsen, Seth",642201,678020,,ball,,,,,14,Eli White hit by pitch.,R,R,R,ATL,COL,B,,,0,2,2024,0.3,0.19,0.77,0.9,,,,1,8,Bot,,,,,,,7.88453149007714,-130.94020663144684,-6.402462793385647,2.049220876356483,24.27635929834908,-28.890060809528418,3.58,1.61,,,,91.5,2450,6.9,747075,691011,669911,663898,641857,678662,666134,686668,656541,53.58,,,,,,,,71,3,Slider,5,2,5,2,2,5,5,2,Standard,Standard,117,0.0,0.02,,,,-0.02,,3,3,0.972,0.972,24,30,24,30,1,0,4,1,2,2,2.59,-0.3,-0.3,37.8,,,,,
SL,2024-09-04,89.9,-2.73,5.56,"Halvorsen, Seth",642201,678020,,swinging_strike,,,,,14,Eli White hit by pitch.,R,R,R,ATL,COL,S,,,0,1,2024,0.12,0.17,1.23,1.21,,,,1,8,Bot,,,,,,,9.67997733453489,-130.69764268425993,-5.276393400643421,-0.4243591052477898,25.17510666832069,-29.294619705014245,3.58,1.68,,,,91.4,2405,7.1,747075,691011,669911,663898,641857,678662,666134,686668,656541,53.42,,,,,,,,71,2,Slider,5,2,5,2,2,5,5,2,Standard,Standard,147,0.0,-0.057,49.7,7.5,,0.057,,3,3,0.972,0.972,24,30,24,30,1,0,4,1,2,2,2.63,-0.12,-0.12,36.4,9.699105152349292,8.96298408107247,32.632354305768004,55.95008001919554,25.286569423703348
FF,2024-09-04,100.5,-2.11,5.81,"Halvorsen, Seth",642201,678020,,called_strike,,,,,6,Eli White hit by pitch.,R,R,R,ATL,COL,S,,,0,0,2024,-1.11,1.33,0.59,2.24,,,,1,8,Bot,,,,,,,10.264213795098494,-145.79870525651486,-7.788351671779366,-18.25257115467565,34.08133234741142,-11.519112064761648,3.49,1.56,,,,101.8,2335,7.2,747075,691011,669911,663898,641857,678662,666134,686668,656541,53.34,,,,,,,,71,1,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,224,0.0,-0.037,,,,0.037,,3,3,0.972,0.972,24,30,24,30,1,0,4,1,2,2,0.94,1.11,1.11,45.4,,,,,
FF,2024-09-04,99.3,-2.29,5.84,"Halvorsen, Seth",671739,678020,field_out,hit_into_play,,,,,6,Michael Harris II lines out sharply to left fielder Nolan Jones.,R,L,R,ATL,COL,X,7,line_drive,0,0,2024,-0.89,1.38,0.29,2.27,,,,0,8,Bot,68.84,72.92,,,,,9.266297511344904,-144.18095043987682,-7.705917839234583,-14.567574544753748,32.54563784292493,-11.22724298047788,3.42,1.6,343,107.1,17,100.8,2295,7.1,747075,691011,669911,663898,641857,678662,666134,686668,656541,53.36,0.606,0.737,0.0,1,0,0,6,70,1,4-Seam Fastball,5,2,5,2,2,5,5,2,Infield shade,Standard,223,-0.003,-0.254,69.5,7.3,1.147,0.254,107.1,3,3,0.975,0.975,24,23,24,23,1,4,4,1,2,1,0.93,0.89,-0.89,42.5,0.5406149274941442,15.361579727169564,34.42746257743527,36.35774850066561,20.26171425585804
FF,2024-09-04,95.8,-2.43,5.78,"Jiménez, Joe",663898,641729,field_out,hit_into_play,,,,,6,"Brendan Rodgers grounds out, second baseman Luke Williams to first baseman Matt Olson.",R,R,R,ATL,COL,X,4,ground_ball,1,2,2024,-1.29,1.32,0.66,2.32,,,,2,8,Top,120.44,126.93,,,,,11.304968499594274,-138.92230552185023,-6.6234438214316445,-19.231148746743816,31.230311368132163,-13.651496624805525,3.39,1.55,7,109.4,-17,97.7,2352,7.6,747075,518595,621566,663897,570482,606115,672284,671739,642201,52.95,0.191,0.18,0.0,1,0,0,2,69,5,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,220,0.006,-0.18,,,0.196,0.18,109.4,3,-3,0.969,0.031,29,27,29,28,1,3,1,1,2,1,1.18,1.29,1.29,30.7,,,,,
SL,2024-09-04,87.0,-2.66,5.68,"Jiménez, Joe",663898,641729,,foul,,,,,5,"Brendan Rodgers grounds out, second baseman Luke Williams to first baseman Matt Olson.",R,R,R,ATL,COL,S,,,1,2,2024,0.09,0.56,0.03,2.14,,,,2,8,Top,,,,,,,6.406992256459748,-126.56210198349515,-3.5490563843309264,-0.3075445553487024,24.57461654393319,-25.660136109746965,3.39,1.55,194,66.4,30,89.0,2052,7.4,747075,518595,621566,663897,570482,606115,672284,671739,642201,53.07,,,,,,,,69,4,Slider,5,2,2,5,2,5,2,5,Standard,Standard,185,0.0,0.0,65.8,7.2,,0.0,88.0,3,-3,0.969,0.031,29,27,29,28,1,3,1,1,2,1,2.44,-0.09,-0.09,28.0,3.52327919925283,-5.961900079453579,34.70178286796,35.08025063112552,36.18989493817405
SL,2024-09-04,84.7,-2.66,5.65,"Jiménez, Joe",663898,641729,,ball,,,,,14,"Brendan Rodgers grounds out, second baseman Luke Williams to first baseman Matt Olson.",R,R,R,ATL,COL,B,,,0,2,2024,-0.02,0.32,0.77,1.19,,,,2,8,Top,,,,,,,8.17963943692893,-123.1234718729692,-4.820188446050063,-1.7020527651094697,22.90208026885221,-28.12116695722688,3.25,1.39,,,,86.4,2070,7.3,747075,518595,621566,663897,570482,606115,672284,671739,642201,53.19,,,,,,,,69,3,Slider,5,2,2,5,2,5,2,5,Standard,Standard,113,0.0,0.023,,,,-0.023,,3,-3,0.969,0.031,29,27,29,28,1,3,1,1,2,1,2.84,0.02,0.02,28.1,,,,,
FF,2024-09-04,94.4,-2.44,5.87,"Jiménez, Joe",663898,641729,,foul_tip,,,,,1,"Brendan Rodgers grounds out, second baseman Luke Williams to first baseman Matt Olson.",R,R,R,ATL,COL,S,,,0,1,2024,-0.86,1.5,-0.39,2.83,,,,2,8,Top,,,,,,,7.379840342786189,-137.15696189305018,-5.622596528275484,-12.548951424726866,30.733416925155502,-12.22176478891499,3.39,1.55,,,,95.8,2251,7.2,747075,518595,621566,663897,570482,606115,672284,671739,642201,53.3,,,,,,,,69,2,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,214,0.0,-0.058,73.3,7.0,,0.058,,3,-3,0.969,0.031,29,27,29,28,1,3,1,1,2,1,1.07,0.86,0.86,37.3,4.535785934119649,-4.988623439152793,33.730560664518954,30.82465752789914,34.78690305186069
FF,2024-09-04,95.0,-2.49,5.84,"Jiménez, Joe",663898,641729,,foul,,,,,11,"Brendan Rodgers grounds out, second baseman Luke Williams to first baseman Matt Olson.",R,R,R,ATL,COL,S,,,0,0,2024,-1.21,1.33,-0.89,3.19,,,,2,8,Top,,,,,,,7.032717394909002,-138.23058622585896,-4.391852905788436,-17.077278855947363,27.93791303821926,-14.223651792108,3.39,1.55,153,64.3,20,96.9,2398,7.2,747075,518595,621566,663897,570482,606115,672284,671739,642201,53.32,,,,,,,,69,1,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,212,0.0,-0.041,61.2,5.2,,0.041,88.0,3,-3,0.969,0.031,29,27,29,28,1,3,1,1,2,1,1.17,1.21,1.21,31.3,-16.42745973354237,38.89948786918961,30.741605345265835,24.835451026669364,20.697649184642337
FF,2024-09-04,94.5,-2.45,5.84,"Jiménez, Joe",641857,641729,strikeout,swinging_strike,,,,,4,Ryan McMahon strikes out swinging.,R,L,R,ATL,COL,S,2,,2,2,2024,-1.26,1.36,-0.82,2.25,,,,1,8,Top,,,,,,,7.162961436488383,-137.40977040883269,-6.809870743829153,-17.567557624855485,28.819103729337435,-13.600525811523273,3.44,1.57,,,,96.1,2394,7.1,747075,518595,621566,663897,570482,606115,672284,671739,642201,53.38,,0.0,0.0,1,0,0,,68,5,4-Seam Fastball,5,2,2,5,2,5,2,5,Infield shade,Standard,215,0.013,-0.225,74.1,7.3,,0.225,,3,-3,0.956,0.044,29,29,29,30,1,3,1,3,2,1,1.19,1.26,-1.26,32.6,2.9793466587686264,17.831075319462816,38.7663768132485,49.94294331931275,9.686810846475128
