game_date,away_team,home_team,away_pitcher,home_pitcher
2024-06-30,Pirates,Braves,Bailey Falter,Spencer Schwellenbach
2024-06-30,Marlins,Phillies,Yonny Chirinos,Ranger Suárez
2024-06-30,Padres,Red Sox,Matt Waldron,Josh Winckowski
2024-06-30,Yankees,Blue Jays,Gerrit Cole,Kevin Gausman
2024-06-30,Nationals,Rays,Patrick Corbin,Taj Bradley
2024-06-30,Astros,Mets,Shawn Dubin,Luis Severino
2024-06-30,Cubs,Brewers,Kyle Hendricks,Freddy Peralta
2024-06-30,Guardians,Royals,Logan Allen,Seth Lugo
2024-06-30,Rockies,White Sox,Kyle Freeland,Garrett Crochet
2024-06-30,Reds,Cardinals,Hunter Greene,Lance Lynn
2024-06-30,Dodgers,Giants,James Paxton,Spencer Bivens
2024-06-30,Tigers,Angels,Casey Mize,Tyler Anderson
2024-06-30,Twins,Mariners,Joe Ryan,Luis Castillo
2024-06-30,Athletics,D-backs,Luis Medina,Brandon Pfaadt
2024-06-30,Rangers,Orioles,Andrew Heaney,Cole Irvin
