game_date,away_team,home_team,away_pitcher,home_pitcher
2025-06-04,Rockies,Marlins,Kyle Freeland,Cal Quantrill
2025-06-04,Brewers,Reds,DL Hall,Andrew Abbott
2025-06-04,Angels,Red Sox,José Soriano,Lucas Giolito
2025-06-04,Astros,Pirates,Ryan Gusto,Mike Burrows
2025-06-04,Cubs,Nationals,Matthew Boyd,MacKenzie Gore
2025-06-04,Guardians,Yankees,Luis L. Ortiz,Clarke Schmidt
2025-06-04,Phillies,Blue Jays,Mick Abel,José Berríos
2025-06-04,D-backs,Braves,Merrill Kelly,Chris Sale
2025-06-04,Rangers,Rays,Kumar Rocker,Shane Baz
2025-06-04,Tigers,White Sox,Sawyer Gipson-Long,Jared Shuster
2025-06-04,Orioles,Mariners,Cade Povich,Emerson Hancock
2025-06-04,Padres,Giants,Nick Pivetta,Kyle Harrison
2025-06-04,Twins,Athletics,Zebby Matthews,
2025-06-04,Mets,Dodgers,Griffin Canning,Tony Gonsolin
2025-06-04,Royals,Cardinals,Noah Cameron,Miles Mikolas
