game_date,away_team,home_team,away_pitcher,home_pitcher
2024-08-08,Giants,Nationals,Kyle Harrison,DJ Herz
2024-08-08,Brewers,Braves,Frankie Montas,Charlie Morton
2024-08-08,Padres,Pirates,Randy Vásquez,Luis L. Ortiz
2024-08-08,Mets,Rockies,David Peterson,Austin Gomber
2024-08-08,Reds,Marlins,Hunter Greene,Kyle Tyler
2024-08-08,Angels,Yankees,Tyler Anderson,Nestor Cortes
2024-08-08,Orioles,Blue Jays,Dean Kremer,Kevin Gausman
2024-08-08,Rays,Cardinals,Shane Baz,Kyle Gibson
2024-08-08,Tigers,Mariners,Brenan Hanifee,Bryan Woo
2024-08-08,Phillies,D-backs,Kolby Allard,Jordan Montgomery
