game_date,away_team,home_team,away_pitcher,home_pitcher
2024-05-05,Blue Jays,Nationals,Alek Manoah,MacKenzie Gore
2024-05-05,Rockies,Pirates,Ryan Feltner,Bailey Falter
2024-05-05,Tigers,Yankees,Tarik Skubal,Nestor Cortes
2024-05-05,Mets,Rays,Luis Severino,Ryan Pepiot
2024-05-05,Angels,Guardians,Griffin Canning,Carlos Carrasco
2024-05-05,Red Sox,Twins,Cooper Criswell,Joe Ryan
2024-05-05,Rangers,Royals,Jon Gray,Daniel Lynch IV
2024-05-05,Mariners,Astros,Bryce Miller,Hunter Brown
2024-05-05,White Sox,Cardinals,Garrett Crochet,Matthew Liberatore
2024-05-05,Brewers,Cubs,Freddy Peralta,Javier Assad
2024-05-05,Marlins,Athletics,Sixto Sánchez,Joe Boyle
2024-05-05,Braves,Dodgers,Max Fried,James Paxton
2024-05-05,Orioles,Reds,Dean Kremer,Nick Lodolo
2024-05-05,Padres,D-backs,Matt Waldron,Ryne Nelson
2024-05-05,Giants,Phillies,Logan Webb,Taijuan Walker
