game_date,away_team,home_team,away_pitcher,home_pitcher
2024-06-16,Cardinals,Cubs,Miles Mikolas,Jameson Taillon
2024-06-16,Marlins,Nationals,Jesús Luzardo,Mitchell Parker
2024-06-16,Phillies,Orioles,Zack Wheeler,Corbin Burnes
2024-06-16,Rays,Braves,Zach Eflin,Hurston Waldrep
2024-06-16,Guardians,Blue Jays,Ben Lively,José Berríos
2024-06-16,Padres,Mets,Dylan Cease,Tylor Megill
2024-06-16,Athletics,Twins,JP Sears,Bailey Ober
2024-06-16,Reds,Brewers,Frankie Montas,Colin Rea
2024-06-16,Tigers,Astros,Kenta Maeda,Ronel Blanco
2024-06-16,Pirates,Rockies,Josh Fleming,Dakota Hudson
2024-06-16,Angels,Giants,Ben Joyce,Erik Miller
2024-06-16,Rangers,Mariners,Dane Dunning,Logan Gilbert
2024-06-16,Royals,Dodgers,Brady Singer,Tyler Glasnow
2024-06-16,White Sox,D-backs,Drew Thorpe,Jordan Montgomery
2024-06-16,Yankees,Red Sox,Marcus Stroman,Kutter Crawford
2024-06-16,Athletics,Twins,Joey Estes,Chris Paddack
