game_date,away_team,home_team,away_pitcher,home_pitcher
2024-09-10,Marlins,Pirates,Adam Oller,Carmen Mlodzinski
2024-09-10,Rays,Phillies,Taj Bradley,Ranger Suárez
2024-09-10,Rockies,Tigers,Bradley Blalock,Keider Montero
2024-09-10,Braves,Nationals,Reynaldo López,MacKenzie Gore
2024-09-10,Royals,Yankees,Seth Lugo,Marcus Stroman
2024-09-10,Mets,Blue Jays,David Peterson,Chris Bassitt
2024-09-10,Orioles,Red Sox,Albert Suárez,Kutter Crawford
2024-09-10,Angels,Twins,Griffin Canning,Pablo López
2024-09-10,Guardians,White Sox,Ben Lively,Jonathan Cannon
2024-09-10,Reds,Cardinals,Rhett Lowder,Andre Pallante
2024-09-10,Athletics,Astros,JP Sears,Spencer Arrighetti
2024-09-10,Padres,Mariners,Yu Darvish,George Kirby
2024-09-10,Rangers,D-backs,Nathan Eovaldi,Zac Gallen
2024-09-10,Brewers,Giants,Aaron Civale,Landen Roupp
2024-09-10,Cubs,Dodgers,Shota Imanaga,Yoshinobu Yamamoto
