game_date,away_team,home_team,away_pitcher,home_pitcher
2024-04-20,Rays,Yankees,Zach Eflin,Nestor Cortes
2024-04-20,Tigers,Twins,Reese Olson,Bailey Ober
2024-04-20,Brewers,Cardinals,DL Hall,Miles Mikolas
2024-04-20,Marlins,Cubs,Jesús Luzardo,Javier Assad
2024-04-20,Astros,Nationals,Ronel Blanco,Trevor Williams
2024-04-20,D-backs,Giants,Zac Gallen,Kyle Harrison
2024-04-20,Red Sox,Pirates,Kutter Crawford,Mitch Keller
2024-04-20,Mets,Dodgers,José Buttó,Gavin Stone
2024-04-20,White Sox,Phillies,Michael Soroka,Zack Wheeler
2024-04-20,Athletics,Guardians,Alex Wood,Logan Allen
2024-04-20,Angels,Reds,Patrick Sandoval,Graham Ashcraft
2024-04-20,Orioles,Royals,Corbin Burnes,Cole Ragans
2024-04-20,Rangers,Braves,Nathan Eovaldi,Charlie Morton
2024-04-20,Marlins,Cubs,Roddery Muñoz,Shota Imanaga
2024-04-20,Mariners,Rockies,Luis Castillo,Dakota Hudson
2024-04-20,Blue Jays,Padres,José Berríos,Randy Vásquez
