game_date,away_team,home_team,away_pitcher,home_pitcher
2024-09-14,Royals,Pirates,Michael Wacha,Mitch Keller
2024-09-14,Red Sox,Yankees,Brayan Bello,Gerrit Cole
2024-09-14,Cardinals,Blue Jays,Kyle Gibson,José Berríos
2024-09-14,Marlins,Nationals,Valente Bellozo,Patrick Corbin
2024-09-14,Mets,Phillies,Luis Severino,Kolby Allard
2024-09-14,Orioles,Tigers,Corbin Burnes,Beau Brieske
2024-09-14,Rays,Guardians,Drew Rasmussen,Joey Cantillo
2024-09-14,Reds,Twins,Nick Martinez,Simeon Woods Richardson
2024-09-14,Athletics,White Sox,J.T. Ginn,Chris Flexen
2024-09-14,Dodgers,Braves,Jack Flaherty,Chris Sale
2024-09-14,Cubs,Rockies,Jameson Taillon,Kyle Freeland
2024-09-14,Brewers,D-backs,Tobias Myers,Brandon Pfaadt
2024-09-14,Padres,Giants,Joe Musgrove,Mason Black
2024-09-14,Astros,Angels,Justin Verlander,Tyler Anderson
2024-09-14,Rangers,Mariners,Max Scherzer,Logan Gilbert
