game_date,away_team,home_team,away_pitcher,home_pitcher
2024-03-29,Brewers,Mets,Freddy Peralta,Jose Quintana
2024-03-29,Braves,Phillies,Spencer Strider,Zack Wheeler
2024-03-29,Blue Jays,Rays,Chris Bassitt,Aaron Civale
2024-03-29,Pirates,Marlins,Martín Pérez,A.J. Puk
2024-03-29,Yankees,Astros,Carlos Rodón,Cristian Javier
2024-03-29,Red Sox,Mariners,Nick Pivetta,George Kirby
2024-03-29,Giants,Padres,Kyle Harrison,Joe Musgrove
2024-03-29,Guardians,Athletics,Logan Allen,Ross Stripling
2024-03-29,Rockies,D-backs,Cal Quantrill,Merrill Kelly
2024-03-29,Cardinals,Dodgers,Zack Thompson,Bobby Miller
