game_date,away_team,home_team,away_pitcher,home_pitcher
2024-03-03,Phillies,Braves,Connor Brogdon,Chris Sale
2024-03-03,Blue Jays,Red Sox,Paolo Espino,Kutter Crawford
2024-03-03,Rays,Twins,Zack Littell,Simeon Woods Richardson
2024-03-03,Tigers,Yankees,Matt Manning,Nestor Cortes
2024-03-03,Orioles,Pirates,Grayson Rodriguez,Martín Pérez
2024-03-03,Astros,Mets,José Urquidy,Adrian Houser
2024-03-03,Giants,Guardians,Jordan Hicks,Tanner Bibee
2024-03-03,Rangers,Athletics,Dane Dunning,JP Sears
2024-03-03,Reds,Royals,Frankie Montas,Michael Wacha
2024-03-03,Guardians,Cubs,Logan Allen,Kyle Hendricks
2024-03-03,Rockies,Dodgers,Austin Gomber,Gavin Stone
2024-03-03,Brewers,D-backs,Freddy Peralta,Eduardo Rodriguez
2024-03-03,White Sox,Angels,Erick Fedde,Caden Dana
2024-03-03,Mariners,Padres,Luis Castillo,Yu Darvish
2024-03-03,Marlins,Cardinals,A.J. Puk,Drew Rom
2024-03-03,Marlins,Nationals,Yonny Chirinos,Zach Davies
