game_date,away_team,home_team,away_pitcher,home_pitcher
2024-08-21,Orioles,Mets,Cole Irvin,Sean Manaea
2024-08-21,Red Sox,Astros,Cooper Criswell,Justin Verlander
2024-08-21,Pirates,Rangers,Domingo Germán,Andrew Heaney
2024-08-21,White Sox,Giants,Garrett Crochet,Logan Webb
2024-08-21,Twins,Padres,Simeon Woods Richardson,Matt Waldron
2024-08-21,D-backs,Marlins,Jordan Montgomery,Roddery Muñoz
2024-08-21,Rockies,Nationals,Tanner Gordon,Mitchell Parker
2024-08-21,Guardians,Yankees,Joey Cantillo,Nestor Cortes
2024-08-21,Reds,Blue Jays,Nick Martinez,Yariel Rodríguez
2024-08-21,Phillies,Braves,Aaron Nola,Max Fried
2024-08-21,Brewers,Cardinals,Tobias Myers,Kyle Gibson
2024-08-21,Tigers,Cubs,Beau Brieske,Jameson Taillon
2024-08-21,Angels,Royals,Johnny Cueto,Michael Lorenzen
2024-08-21,Rays,Athletics,Ryan Pepiot,Mitch Spence
2024-08-21,Mariners,Dodgers,Logan Gilbert,Jack Flaherty
