game_date,away_team,home_team,away_pitcher,home_pitcher
2024-05-08,Angels,Pirates,José Soriano,Martín Pérez
2024-05-08,Blue Jays,Phillies,Chris Bassitt,Aaron Nola
2024-05-08,Tigers,Guardians,Reese Olson,Tanner Bibee
2024-05-08,Brewers,Royals,Joe Ross,Brady Singer
2024-05-08,Padres,Cubs,Dylan Cease,Hayden Wesneski
2024-05-08,Marlins,Dodgers,Ryan Weathers,Gavin Stone
2024-05-08,Rangers,Athletics,Michael Lorenzen,JP Sears
2024-05-08,Rangers,Athletics,Jack Leiter,Osvaldo Bido
2024-05-08,D-backs,Reds,Jordan Montgomery,Graham Ashcraft
2024-05-08,Orioles,Nationals,Kyle Bradish,Mitchell Parker
2024-05-08,White Sox,Rays,Chris Flexen,Aaron Civale
2024-05-08,Astros,Yankees,Spencer Arrighetti,Carlos Rodón
2024-05-08,Red Sox,Braves,Nick Pivetta,Chris Sale
2024-05-08,Mariners,Twins,George Kirby,Chris Paddack
2024-05-08,Giants,Rockies,Jordan Hicks,Peter Lambert
2024-05-08,Mets,Cardinals,Jose Quintana,Sonny Gray
