game_date,away_team,home_team,away_pitcher,home_pitcher
2025-06-14,Marlins,Nationals,Cade Gibson,Trevor Williams
2025-06-14,Reds,Tigers,Brady Singer,Jack Flaherty
2025-06-14,Pirates,Cubs,Mike Burrows,Matthew Boyd
2025-06-14,White Sox,Rangers,Mike Vasil,Jacob deGrom
2025-06-14,Blue Jays,Phillies,Bowden Francis,Cristopher Sánchez
2025-06-14,Angels,Orioles,Tyler Anderson,Tomoyuki Sugano
2025-06-14,Twins,Astros,Joe Ryan,Hunter Brown
2025-06-14,Athletics,Royals,Jacob Lopez,Michael Lorenzen
2025-06-14,Cardinals,Brewers,Andre Pallante,Jose Quintana
2025-06-14,Rays,Mets,Drew Rasmussen,Tylor Megill
2025-06-14,Rockies,Braves,Chase Dollander,Spencer Strider
2025-06-14,Padres,D-backs,Ryan Bergert,Zac Gallen
2025-06-14,Yankees,Red Sox,Carlos Rodón,Hunter Dobbins
2025-06-14,Guardians,Mariners,Tanner Bibee,George Kirby
2025-06-14,Giants,Dodgers,Landen Roupp,Clayton Kershaw
