game_date,away_team,home_team,away_pitcher,home_pitcher
2024-04-26,Royals,Tigers,Seth Lugo,Reese Olson
2024-04-26,Athletics,Orioles,Ross Stripling,Corbin Burnes
2024-04-26,Dodgers,Blue Jays,Gavin Stone,Chris Bassitt
2024-04-26,Cardinals,Mets,Miles Mikolas,José Buttó
2024-04-26,Nationals,Marlins,Trevor Williams,Anthony Maldonado
2024-04-26,Cubs,Red Sox,Shota Imanaga,Kutter Crawford
2024-04-26,Guardians,Braves,Logan Allen,Chris Sale
2024-04-26,Rays,White Sox,Zach Eflin,Chris Flexen
2024-04-26,Reds,Rangers,Graham Ashcraft,Nathan Eovaldi
2024-04-26,Yankees,Brewers,Luis Gil,Colin Rea
2024-04-26,Twins,Angels,Bailey Ober,Patrick Sandoval
2024-04-26,D-backs,Mariners,Zac Gallen,Emerson Hancock
2024-04-26,Phillies,Padres,Aaron Nola,Joe Musgrove
2024-04-26,Pirates,Giants,Quinn Priester,Kyle Harrison
