game_date,away_team,home_team,away_pitcher,home_pitcher
2025-07-25,Marlins,Brewers,Cal Quantrill,Freddy Peralta
2025-07-25,D-backs,Pirates,Ryne Nelson,Mike Burrows
2025-07-25,Phillies,Yankees,Taijuan Walker,Will Warren
2025-07-25,Rockies,Orioles,Kyle Freeland,Dean Kremer
2025-07-25,Dodgers,Red Sox,Emmet Sheehan,Brayan Bello
2025-07-25,Rays,Reds,Zack Littell,Nick Martinez
2025-07-25,Blue Jays,Tigers,José Berríos,Keider Montero
2025-07-25,Padres,Cardinals,Nick Pivetta,Miles Mikolas
2025-07-25,Cubs,White Sox,Shota Imanaga,Adrian Houser
2025-07-25,Braves,Rangers,Joey Wentz,Nathan Eovaldi
2025-07-25,Athletics,Astros,Jeffrey Springs,Ryan Gusto
2025-07-25,Nationals,Twins,MacKenzie Gore,Zebby Matthews
2025-07-25,Mariners,Angels,Bryan Woo,José Soriano
2025-07-25,Mets,Giants,Clay Holmes,Logan Webb
2025-07-25,Guardians,Royals,Gavin Williams,Michael Wacha
