game_date,away_team,home_team,away_pitcher,home_pitcher
2024-03-01,Marlins,Phillies,Jesús Luzardo,Aaron Nola
2024-03-01,Phillies,Tigers,Ranger Suárez,Kenta Maeda
2024-03-01,Rays,Pirates,Jacob Lopez,Mitch Keller
2024-03-01,Mets,Cardinals,Luis Severino,Matthew Liberatore
2024-03-01,Red Sox,Twins,Lucas Giolito,Joe Ryan
2024-03-01,Astros,Nationals,Framber Valdez,MacKenzie Gore
2024-03-01,Orioles,Braves,Tyler Wells,Bryce Elder
2024-03-01,Rangers,Giants,Adrian Sampson,Kyle Harrison
2024-03-01,White Sox,Cubs,Michael Kopech,Justin Steele
2024-03-01,Athletics,Royals,Alex Wood,Cole Ragans
2024-03-01,Mariners,Rockies,Bryan Woo,Kyle Freeland
2024-03-01,Padres,Brewers,Jairo Iriarte,Bryse Wilson
2024-03-01,Angels,Padres,Reid Detmers,Randy Vásquez
2024-03-01,Blue Jays,Yankees,Chad Dallas,Gerrit Cole
2024-03-01,D-backs,Reds,Slade Cecconi,Brandon Williamson
2024-03-01,Guardians,Dodgers,Carlos Carrasco,Tyler Glasnow
