game_date,away_team,home_team,away_pitcher,home_pitcher
2024-07-21,Brewers,Twins,Aaron Civale,Joe Ryan
2024-07-21,Reds,Nationals,Andrew Abbott,Jake Irvin
2024-07-21,Phillies,Pirates,Tyler Phillips,Marco Gonzales
2024-07-21,Rays,Yankees,Shane Baz,Marcus Stroman
2024-07-21,Cardinals,Braves,Miles Mikolas,Spencer Schwellenbach
2024-07-21,Tigers,Blue Jays,Keider Montero,Kevin Gausman
2024-07-21,Mets,Marlins,Christian Scott,Trevor Rogers
2024-07-21,Padres,Guardians,Michael King,Ben Lively
2024-07-21,White Sox,Royals,Drew Thorpe,Seth Lugo
2024-07-21,D-backs,Cubs,Brandon Pfaadt,Shota Imanaga
2024-07-21,Orioles,Rangers,Dean Kremer,Andrew Heaney
2024-07-21,Giants,Rockies,Hayden Birdsong,Ryan Feltner
2024-07-21,Angels,Athletics,Carson Fulmer,Joey Estes
2024-07-21,Astros,Mariners,Ronel Blanco,Bryan Woo
2024-07-21,Red Sox,Dodgers,Kutter Crawford,James Paxton
