game_date,away_team,home_team,away_pitcher,home_pitcher
2025-06-15,Reds,Tigers,Wade Miley,Tyler Holton
2025-06-15,Blue Jays,Phillies,José Berríos,Zack Wheeler
2025-06-15,Yankees,Red Sox,Max Fried,Brayan Bello
2025-06-15,Angels,Orioles,Yusei Kikuchi,Scott Blewett
2025-06-15,Marlins,Nationals,Eury Pérez,MacKenzie Gore
2025-06-15,Rockies,Braves,Austin Gomber,Grant Holmes
2025-06-15,Rays,Mets,Shane Baz,Griffin Canning
2025-06-15,Cardinals,Brewers,Miles Mikolas,Quinn Priester
2025-06-15,Twins,Astros,Simeon Woods Richardson,Brandon Walter
2025-06-15,Athletics,Royals,Jeffrey Springs,Noah Cameron
2025-06-15,Pirates,Cubs,Mitch Keller,Colin Rea
2025-06-15,White Sox,Rangers,Aaron Civale,Kumar Rocker
2025-06-15,Padres,D-backs,Nick Pivetta,Merrill Kelly
2025-06-15,Guardians,Mariners,Luis L. Ortiz,Emerson Hancock
2025-06-15,Giants,Dodgers,Sean Hjelle,Dustin May
