game_date,away_team,home_team,away_pitcher,home_pitcher
2024-08-24,Rockies,Yankees,Bradley Blalock,Will Warren
2024-08-24,Angels,Blue Jays,Carson Fulmer,Bowden Francis
2024-08-24,Astros,Orioles,Framber Valdez,Albert Suárez
2024-08-24,Brewers,Athletics,Colin Rea,Joe Boyle
2024-08-24,Giants,Mariners,Blake Snell,George Kirby
2024-08-24,Cubs,Marlins,Shota Imanaga,Valente Bellozo
2024-08-24,D-backs,Red Sox,Zac Gallen,Kutter Crawford
2024-08-24,Reds,Pirates,Julian Aguiar,Jake Woodford
2024-08-24,Cardinals,Twins,Sonny Gray,Pablo López
2024-08-24,Phillies,Royals,Ranger Suárez,Brady Singer
2024-08-24,Rangers,Guardians,Jon Gray,Ben Lively
2024-08-24,Tigers,White Sox,Tarik Skubal,Ky Bush
2024-08-24,Nationals,Braves,Jake Irvin,Charlie Morton
2024-08-24,Mets,Padres,David Peterson,Michael King
2024-08-24,Rays,Dodgers,Taj Bradley,Clayton Kershaw
