game_date,away_team,home_team,away_pitcher,home_pitcher
2025-07-04,Red Sox,Nationals,Lucas Giolito,Michael Soroka
2025-07-04,Reds,Phillies,Andrew Abbott,Jesús Luzardo
2025-07-04,Cardinals,Cubs,Miles Mikolas,Colin Rea
2025-07-04,Yankees,Mets,Marcus Stroman,Justin Hagenman
2025-07-04,Pirates,Mariners,Bailey Falter,Bryan Woo
2025-07-04,Rays,Twins,Zack Littell,Chris Paddack
2025-07-04,Rangers,Padres,Kumar Rocker,Randy Vásquez
2025-07-04,Angels,Blue Jays,Kyle Hendricks,Eric Lauer
2025-07-04,Tigers,Guardians,Reese Olson,Slade Cecconi
2025-07-04,Brewers,Marlins,Quinn Priester,Sandy Alcantara
2025-07-04,Orioles,Braves,Charlie Morton,Spencer Strider
2025-07-04,White Sox,Rockies,Adrian Houser,Antonio Senzatela
2025-07-04,Astros,Dodgers,Lance McCullers Jr.,Ben Casparius
2025-07-04,Royals,D-backs,Kris Bubic,Eduardo Rodriguez
2025-07-04,Giants,Athletics,Justin Verlander,JP Sears
