game_date,away_team,home_team,away_pitcher,home_pitcher
2024-08-19,D-backs,Marlins,Brandon Pfaadt,Adam Oller
2024-08-19,Reds,Blue Jays,Julian Aguiar,Kevin Gausman
2024-08-19,Orioles,Mets,Trevor Rogers,David Peterson
2024-08-19,Pirates,Rangers,Luis L. Ortiz,Dane Dunning
2024-08-19,Angels,Royals,Carson Fulmer,Seth Lugo
2024-08-19,Red Sox,Astros,Tanner Houck,Yusei Kikuchi
2024-08-19,Twins,Padres,Zebby Matthews,Michael King
2024-08-19,Rays,Athletics,Taj Bradley,Joe Boyle
2024-08-19,White Sox,Giants,Jonathan Cannon,Kyle Harrison
2024-08-19,Mariners,Dodgers,Bryan Woo,Gavin Stone
