game_date,away_team,home_team,away_pitcher,home_pitcher
2024-09-18,Athletics,Cubs,Brady Basso,Justin Steele
2024-09-18,D-backs,Rockies,Eduardo Rodriguez,Austin Gomber
2024-09-18,White Sox,Angels,Jared Shuster,Jack Kochanowicz
2024-09-18,Giants,Orioles,Hayden Birdsong,Dean Kremer
2024-09-18,Astros,Padres,Framber Valdez,Dylan Cease
2024-09-18,Dodgers,Marlins,Landon Knack,Ryan Weathers
2024-09-18,Twins,Guardians,Bailey Ober,Tanner Bibee
2024-09-18,Braves,Reds,Spencer Schwellenbach,Jakob Junis
2024-09-18,Red Sox,Rays,Tanner Houck,Ryan Pepiot
2024-09-18,Nationals,Mets,DJ Herz,Jose Quintana
2024-09-18,Phillies,Brewers,Aaron Nola,Freddy Peralta
2024-09-18,Tigers,Royals,Tarik Skubal,Alec Marsh
2024-09-18,Pirates,Cardinals,Jake Woodford,Sonny Gray
2024-09-18,Blue Jays,Rangers,Bowden Francis,Cody Bradford
2024-09-18,Yankees,Mariners,Nestor Cortes,Bryce Miller
