game_date,away_team,home_team,away_pitcher,home_pitcher
2024-08-29,Angels,Tigers,Jack Kochanowicz,Keider Montero
2024-08-29,Giants,Brewers,Hayden Birdsong,Aaron Civale
2024-08-29,Rangers,White Sox,Nathan Eovaldi,Nick Nastrini
2024-08-29,Padres,Cardinals,Michael King,Sonny Gray
2024-08-29,Marlins,Rockies,Valente Bellozo,Bradley Blalock
2024-08-29,Mets,D-backs,David Peterson,Ryne Nelson
2024-08-29,Athletics,Reds,J.T. Ginn,Julian Aguiar
2024-08-29,Braves,Phillies,Charlie Morton,Cristopher Sánchez
2024-08-29,Blue Jays,Red Sox,Bowden Francis,Kutter Crawford
2024-08-29,Royals,Astros,Brady Singer,Hunter Brown
2024-08-29,Orioles,Dodgers,Cade Povich,Bobby Miller
