game_date,away_team,home_team,away_pitcher,home_pitcher
2024-06-08,Phillies,Mets,Ranger Suárez,Sean Manaea
2024-06-08,Braves,Nationals,Charlie Morton,MacKenzie Gore
2024-06-08,Giants,Rangers,Spencer Howard,Andrew Heaney
2024-06-08,Twins,Pirates,Simeon Woods Richardson,Carmen Mlodzinski
2024-06-08,Blue Jays,Athletics,Kevin Gausman,Luis Medina
2024-06-08,Orioles,Rays,Kyle Bradish,Taj Bradley
2024-06-08,Mariners,Royals,Luis Castillo,Alec Marsh
2024-06-08,Brewers,Tigers,Freddy Peralta,Casey Mize
2024-06-08,Cubs,Reds,Ben Brown,Andrew Abbott
2024-06-08,Red Sox,White Sox,Brayan Bello,Nick Nastrini
2024-06-08,Rockies,Cardinals,Ryan Feltner,Kyle Gibson
2024-06-08,Dodgers,Yankees,Gavin Stone,Nestor Cortes
2024-06-08,Guardians,Marlins,Ben Lively,Roddery Muñoz
2024-06-08,D-backs,Padres,Ryne Nelson,Matt Waldron
2024-06-08,Astros,Angels,Hunter Brown,Tyler Anderson
