game_date,away_team,home_team,away_pitcher,home_pitcher
2025-07-09,Blue Jays,White Sox,Eric Lauer,Adrian Houser
2025-07-09,Dodgers,Brewers,Tyler Glasnow,Jose Quintana
2025-07-09,Phillies,Giants,Jesús Luzardo,Justin Verlander
2025-07-09,Rays,Tigers,Zack Littell,Reese Olson
2025-07-09,Mariners,Yankees,Logan Evans,Cam Schlittler
2025-07-09,Rockies,Red Sox,Antonio Senzatela,Lucas Giolito
2025-07-09,Marlins,Reds,Sandy Alcantara,Andrew Abbott
2025-07-09,Cubs,Twins,Cade Horton,David Festa
2025-07-09,Pirates,Royals,Bailey Falter,Kris Bubic
2025-07-09,Nationals,Cardinals,MacKenzie Gore,Andre Pallante
2025-07-09,Guardians,Astros,Slade Cecconi,Brandon Walter
2025-07-09,Rangers,Angels,Kumar Rocker,Kyle Hendricks
2025-07-09,D-backs,Padres,Brandon Pfaadt,Dylan Cease
2025-07-09,Braves,Athletics,Bryce Elder,Mitch Spence
2025-07-09,Mets,Orioles,David Peterson,Tomoyuki Sugano
