game_date,away_team,home_team,away_pitcher,home_pitcher
2024-05-31,Reds,Cubs,Graham Ashcraft,Javier Assad
2024-05-31,Cardinals,Phillies,Miles Mikolas,Aaron Nola
2024-05-31,Rays,Orioles,Aaron Civale,Albert Suárez
2024-05-31,Pirates,Blue Jays,Bailey Falter,José Berríos
2024-05-31,D-backs,Mets,Jordan Montgomery,Luis Severino
2024-05-31,Rangers,Marlins,José Ureña,Sixto Sánchez
2024-05-31,Nationals,Guardians,Patrick Corbin,Tanner Bibee
2024-05-31,Tigers,Red Sox,Kenta Maeda,Tanner Houck
2024-05-31,Athletics,Braves,JP Sears,Reynaldo López
2024-05-31,White Sox,Brewers,Erick Fedde,Tobias Myers
2024-05-31,Padres,Royals,Dylan Cease,Michael Wacha
2024-05-31,Twins,Astros,Pablo López,Ronel Blanco
2024-05-31,Angels,Mariners,José Soriano,Bryan Woo
2024-05-31,Rockies,Dodgers,Dakota Hudson,Walker Buehler
2024-05-31,Yankees,Giants,Marcus Stroman,Jordan Hicks
