game_date,away_team,home_team,away_pitcher,home_pitcher
2024-07-31,Marlins,Rays,Roddery Muñoz,Taj Bradley
2024-07-31,Yankees,Phillies,Nestor Cortes,Cristopher Sánchez
2024-07-31,Blue Jays,Orioles,Paolo Espino,Grayson Rodriguez
2024-07-31,Twins,Mets,Pablo López,Luis Severino
2024-07-31,Braves,Brewers,Chris Sale,Freddy Peralta
2024-07-31,Royals,White Sox,Brady Singer,Drew Thorpe
2024-07-31,Rangers,Cardinals,Andrew Heaney,Michael McGreevy
2024-07-31,Nationals,D-backs,MacKenzie Gore,Zac Gallen
2024-07-31,Mariners,Red Sox,George Kirby,Brayan Bello
2024-07-31,Cubs,Reds,Kyle Hendricks,Nick Lodolo
2024-07-31,Pirates,Astros,Jake Woodford,Framber Valdez
2024-07-31,Dodgers,Padres,Clayton Kershaw,Dylan Cease
2024-07-31,Rockies,Angels,Kyle Freeland,Davis Daniel
2024-07-31,Athletics,Giants,Ross Stripling,Logan Webb
