game_date,away_team,home_team,away_pitcher,home_pitcher
2024-03-22,Mets,Yankees,Tyler Stuart,Luis Gil
2024-03-22,Tigers,Phillies,Tarik Skubal,Zack Wheeler
2024-03-22,Red Sox,Blue Jays,Justin Hagenman,Mitch White
2024-03-22,Rangers,Guardians,Cody Bradford,Shane Bieber
2024-03-22,Giants,Cubs,Keaton Winn,Justin Steele
2024-03-22,Athletics,White Sox,Joe Boyle,Jake Woodford
2024-03-22,Reds,Athletics,Graham Ashcraft,Alex Wood
2024-03-22,Rockies,Rangers,Kyle Freeland,José Ureña
2024-03-22,Cubs,Giants,Javier Assad,Logan Webb
2024-03-22,Brewers,Mariners,Freddy Peralta,Luis Castillo
2024-03-22,White Sox,Angels,Jonathan Cannon,José Soriano
2024-03-22,Mariners,D-backs,Emerson Hancock,Ryne Nelson
2024-03-22,Royals,Brewers,Cole Ragans,Bryse Wilson
2024-03-22,Twins,Rays,Pablo López,Garrett Cleavinger
2024-03-22,Braves,Twins,,
2024-03-22,Pirates,Orioles,Jared Jones,Corbin Burnes
2024-03-22,Nationals,Astros,Derek Law,Framber Valdez
2024-03-22,Cardinals,Marlins,Miles Mikolas,
