game_date,away_team,home_team,away_pitcher,home_pitcher
2024-07-10,Royals,Cardinals,Alec Marsh,Andre Pallante
2024-07-10,Twins,White Sox,Bailey Ober,Erick Fedde
2024-07-10,Twins,White Sox,Pablo López,Drew Thorpe
2024-07-10,Cubs,Orioles,Shota Imanaga,Corbin Burnes
2024-07-10,Mariners,Padres,Bryce Miller,Michael King
2024-07-10,Guardians,Tigers,Tanner Bibee,Reese Olson
2024-07-10,Yankees,Rays,Marcus Stroman,Zach Eflin
2024-07-10,Dodgers,Phillies,Gavin Stone,Cristopher Sánchez
2024-07-10,Nationals,Mets,Patrick Corbin,Luis Severino
2024-07-10,Rockies,Reds,Kyle Freeland,Frankie Montas
2024-07-10,Athletics,Red Sox,JP Sears,Nick Pivetta
2024-07-10,Royals,Cardinals,Michael Wacha,Gordon Graceffo
2024-07-10,Pirates,Brewers,Martín Pérez,Tobias Myers
2024-07-10,Marlins,Astros,Bryan Hoeing,Framber Valdez
2024-07-10,Rangers,Angels,Michael Lorenzen,Griffin Canning
2024-07-10,Braves,D-backs,Charlie Morton,Slade Cecconi
2024-07-10,Blue Jays,Giants,Chris Bassitt,Logan Webb
