game_date,away_team,home_team,away_pitcher,home_pitcher
2024-03-06,Rays,Yankees,Taj Bradley,Carlos Rodón
2024-03-06,Red Sox,Twins,Cooper Criswell,Joe Ryan
2024-03-06,Nationals,Marlins,Patrick Corbin,Jesús Luzardo
2024-03-06,Brewers,Reds,Bryse Wilson,Brandon Williamson
2024-03-06,Mariners,Royals,Angel Zerpa,
2024-03-06,Dodgers,White Sox,Yoshinobu Yamamoto,Michael Kopech
2024-03-06,Angels,Cubs,Reid Detmers,Justin Steele
2024-03-06,Rangers,Rockies,Andrew Heaney,Kyle Freeland
2024-03-06,Athletics,Angels,Joe Boyle,Patrick Sandoval
2024-03-06,Guardians,Brewers,Triston McKenzie,Colin Rea
2024-03-06,Reds,Padres,Graham Ashcraft,Randy Vásquez
2024-03-06,Pirates,Orioles,Mitch Keller,Julio Teheran
2024-03-06,Mets,Astros,Jose Quintana,Seth Martinez
