game_date,away_team,home_team,away_pitcher,home_pitcher
2024-09-16,Twins,Guardians,Pablo López,Matthew Boyd
2024-09-16,Nationals,Mets,Jake Irvin,Sean Manaea
2024-09-16,Dodgers,Braves,Yoshinobu Yamamoto,Max Fried
2024-09-16,Phillies,Brewers,Ranger Suárez,Aaron Civale
2024-09-16,Tigers,Royals,Reese Olson,Seth Lugo
2024-09-16,Athletics,Cubs,Joey Estes,Shota Imanaga
2024-09-16,Pirates,Cardinals,Paul Skenes,Andre Pallante
2024-09-16,D-backs,Rockies,Merrill Kelly,Antonio Senzatela
2024-09-16,White Sox,Angels,Jonathan Cannon,Reid Detmers
2024-09-16,Astros,Padres,Spencer Arrighetti,Yu Darvish
