game_date,away_team,home_team,away_pitcher,home_pitcher
2024-04-25,Brewers,Pirates,Freddy Peralta,Mitch Keller
2024-04-25,White Sox,Twins,Michael Soroka,Simeon Woods Richardson
2024-04-25,Red Sox,Guardians,Chase Anderson,Triston McKenzie
2024-04-25,Phillies,Reds,Zack Wheeler,Nick Martinez
2024-04-25,Blue Jays,Royals,José Berríos,Cole Ragans
2024-04-25,Astros,Cubs,Justin Verlander,Javier Assad
2024-04-25,Mariners,Rangers,Luis Castillo,Andrew Heaney
2024-04-25,Padres,Rockies,Randy Vásquez,Dakota Hudson
2024-04-25,Dodgers,Nationals,Yoshinobu Yamamoto,MacKenzie Gore
2024-04-25,Athletics,Yankees,Alex Wood,Nestor Cortes
