game_date,away_team,home_team,away_pitcher,home_pitcher
2024-07-24,Rojos,Bravos,Frankie Montas,Allan Winans
2024-07-24,Cardenales,Piratas,Matthew Liberatore,Martín Pérez
2024-07-24,Phillies,Twins,Aaron Nola,Steven Okert
2024-07-24,Cerveceros,Cachorros,Rob Zastryzny,Justin Steele
2024-07-24,Red Sox,Rockies,Nick Pivetta,Cal Quantrill
2024-07-24,Astros,Atléticos,Hunter Brown,JP Sears
2024-07-24,Angels,Marineros,Griffin Canning,Luis Castillo
2024-07-24,Orioles,Marlins,Chayce McDermott,Edward Cabrera
2024-07-24,Tigres,Guardians,Jack Flaherty,Tanner Bibee
2024-07-24,Padres,Nacionales,Matt Waldron,Mitchell Parker
2024-07-24,Mets,Yankees,Sean Manaea,Gerrit Cole
2024-07-24,Rays,Azulejos,Zach Eflin,Yariel Rodríguez
2024-07-24,White Sox,Rangers,Chris Flexen,Nathan Eovaldi
2024-07-24,D-backs,Reales,Ryne Nelson,Michael Wacha
2024-07-24,Gigantes,Dodgers,Robbie Ray,Tyler Glasnow
2024-07-24,Rojos,Bravos,Nick Martinez,Chris Sale
